Product_ID,Brand,Model_Name,Image_URL
1194,"Orient","Orient Everest 18w Geo White 1.5 Ton DC Inverter AC","https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-everest-geo-white-dc-inverter.png.webp"
1195,"Orient","Orient Infinity 18x Silver Matt T3+ Inverter AC","https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-megatron-infinity-ecomfort-dc-inverter.png.webp"
1197,"Dawlance","Dawlance 1.5 Ton 30 Infinity Pro Inverter AC","https://cdn.comverseglobal.com/alfa/products/product_images/30-infinity-pro_160226140327522124.png"
1198,"Dawlance","Dawlance Aura X 30 1.5 Ton Inverter Split AC","https://cdn.comverseglobal.com/alfa/products/product_images/aurax1ton-2_1_220526180727264429.jpg"
1199,"EcoStar","EcoStar 18t3pro 1.5 Ton Inverter Split AC","https://www.surmawala.pk/cdn/shop/files/t3-new.png?v=1754727601"
1201,"Gree","Gree GS-18FITH1W 1.5 Ton Inverter Split AC","https://hadielectronics.com.pk/wp-content/uploads/2026/02/GS-18FITH1W.webp"
1207,"Dawlance","Dawlance DW-6000 Single Tub Spinner","https://digimall.faysalbank.com/_next/image?url=https%3A%2F%2Fcdn.faysalbank.com%2Fdigimall%2Fproducts%2Fproduct_images%2F1780559736748892_040626125536847476.jpg&w=384&q=75"
1219,"Orient","Orient 1 Ton 12G Lunar Grace Golden","https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0Ti3b7kYxj4DZOaV-49hS8fQ23grQT2__fIJxHhLx5sNXRW8IlUSqpRs&s=10"
1220,"Orient","Orient Everest 12W Geo White","https://www.orient.com.pk/assets/products-images-2026/air-conditioners/1-ton-everest-geo-white-dc-inverter.png.webp"
1221,"Orient","Orient FA 18X Snow White","https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-fa-snow-white-dc-inverter-d9f71156.png.webp"
1222,"Orient","Orient Everest 18W Geo White","https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-everest-geo-white-dc-inverter.png.webp"
1223,"Orient","Orient Infinity 18X Silver Matt T3+","https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-megatron-infinity-ecomfort-dc-inverter.png.webp"
1224,"EcoStar","EcoStar AC 12EMC1 1 Ton Inverter Split AC","https://www.surmawala.pk/cdn/shop/files/emc-10.jpg?v=1776872697"
1225,"EcoStar","EcoStar Emperor Cool Series ES-18EMC1WS 1.5 Ton Split AC","https://gulfelectronics.pk/wp-content/uploads/2025/07/ye-mujhe-white-background-main-share-karoo-2026-03-05T131249.436.jpg"
1226,"EcoStar","EcoStar Emperor Series 1 TON White Split Air Conditioner","https://cdn.comverseglobal.com/alfa/products/product_images/17805610978198597_040626131817990568.jpg"
1227,"EcoStar","EcoStar Emperor Cool Series 1.5 TON Split AC","https://static.tossdown.com/images/d4d2417a-04e4-449a-99e7-24bda86a6a85.webp"
1228,"EcoStar","EcoStar ES-12NV01W T3","https://electromart.com.pk/wp-content/uploads/2026/02/ChatGPT-Image-Feb-26-2026-10_34_48-PM-3-768x512.png"
1229,"EcoStar","Ecostar AC 18NV01WT3 1.5 Ton T3 Inverter Split AC","https://electromart.com.pk/wp-content/uploads/2026/02/ChatGPT-Image-Feb-26-2026-10_34_48-PM-4.png"
