MODEL IN LIST,ALFA PRODUCT UPLOADED,LIST PRICE,PROFIT - DC,ALFA 13%,FINAL,MODEL IN LIST NOT AT ALFA,LOWEST,,,EW,LOWEST,Lowest - 10%,EW-10%,,,
HAIER ,,,,,,,,,,,,,,,,
12 CF ,Haier 12CF (G)-Non-Inverter Air Conditioner-By Electronics World," 88,000 "," 94,000 "," 101,075 "," 101,000 ",,95000, 350 ,12 CF ," 104,500 ",104500," 6,050 "," 6,050 ",,,
12 CF ,Haier 12CF (W)-Non-Inverter Air Conditioner-By Electronics World," 88,000 "," 94,000 "," 101,075 "," 101,000 ",,95000, 350 ,12 CF ," 104,500 ",104500," 6,050 "," 6,050 ",,,
Haier 18CF 1.5 Ton Non-Inverter AC -By Electronics World,Haier 18CF 1.5 Ton Non-Inverter AC-BE-On Installments," 110,500 "," 116,500 "," 125,269 "," 125,000 ",OK,122030," 2,988 ",Haier 18CF 1.5 Ton Non-Inverter AC -By Electronics World," 140,000 ",131950," 8,255 "," 15,500 ",,,
24 CF,Haier 24CF-2 Ton Turbo Cool Non-Inverter Air Conditioner-By Electronics World," 156,500 "," 162,500 "," 174,731 "," 175,000 ",OK,173290," 4,660 ",24 CF," 180,000 ",177599," 3,339 "," 5,500 ",,,
10 LF,Haier 10LFCM/013USDC 0.75 ton Cool Inverter-By Electronics World," 92,000 "," 98,000 "," 105,376 "," 105,000 ",OK,99000, 70 ,10 LF," 109,000 ",104900," 2,410 "," 6,100 ",,,
13 LF,Haier | HSU-13LFCM 1 Ton | DC Cool Only Inverter Air Conditioner-By Electronics World," 97,500 "," 103,500 "," 111,290 "," 111,000 ",OK,106990," 2,001 ",13 LF," 122,000 ",117899," 8,609 "," 12,300 ",,,
19 LF,Haier AC 1.5 Ton Inverter Cool Only 19LF ( 2025 Model )-By Electronics World," 122,500 "," 128,500 "," 138,172 "," 138,000 ",OK," 131,890 ", 158 ,19 LF," 142,000 ",138899," 2,509 "," 5,300 ",,,
18 HFM,Haier 18HFM Marvel Inverter AC 1.5 TON-By Electronics World," 138,500 "," 144,500 "," 155,376 "," 155,000 ",OK,153699," 4,440 ",18 HFM," 161,000 ",158699," 4,329 "," 6,400 ",,,
13 HFC,Haier 13HFC DC Triple Inverter AC 1-Ton Heat and Cool 2025 Model-By Electronics World," 106,500 "," 112,500 "," 120,968 "," 121,000 ",ok,115243, 676 ,13 HFC," 126,000 ",123990," 5,091 "," 6,900 ",,,
18 HFC,Haier 18HFC-DC Triple Inverter 1.5-Ton Heat and Cool-By Electronics World," 129,000 "," 135,000 "," 145,161 "," 145,000 ",OK," 141,000 "," 2,130 ",18 HFC," 149,500 ",147499," 3,749 "," 5,550 ",,,
19 HFC,HAIER HSU-19HFCS-W 1.5 TON INVERTER AC Model-By Electronics World," 130,000 "," 136,000 "," 146,237 "," 146,000 ",OK," 137,999 "," (1,661)",19 HFC," 150,500 ",147799," 3,019 "," 5,450 ",,,
14 HFT W,Haier 14HFT W Inverter T3 1 TON AC-By Electronics World," 118,000 "," 124,000 "," 133,333 "," 133,500 ",OK,,,14 HFT W," 142,000 ",142000," 9,800 "," 9,800 ",,,
18 HFT W,Haier 18HFT-Thunder T3 1.5 Ton Full DC Inverter AC-By Electronics World," 159,000 "," 165,000 "," 177,419 "," 177,500 ",OK,174800," 3,564 ",18 HFT W," 182,000 ",179399," 2,459 "," 4,800 ",,,
18 HFT S,Haier 18HFT S-Thunder T3 1.5 Ton Full DC Inverter AC-By Electronics World," 160,000 "," 166,000 "," 178,495 "," 178,500 ",OK,175500," 3,215 ",18 HFT S," 184,500 ",179999," 1,999 "," 6,050 ",,,
20 HFTEX White,Haier HSU-20HFTEX/013WUSDC(OW)-T3 Plus Inverter 1.5 Ton AC-By Electronics World," 161,000 "," 167,000 "," 179,570 "," 179,500 ",NEW-NOT UPLOADED,,,20 HFTEX White," 186,500 ",192299," 12,069 "," 6,850 ",,,
20 HFTEX Grey,Haier HSU-20HFTEX/013WUSDC(G)-T3 Plus Inverter 1.5 Ton AC-By Electronics World," 163,000 "," 169,000 "," 181,720 "," 182,000 ",NEW-NOT UPLOADED,,,20 HFTEX Grey," 189,000 ",189190," 7,271 "," 7,100 ",,,
13 HFA T3,Haier 13HFA W T3 1 TON DC Inverter-By Electronics World," 118,000 "," 124,000 "," 133,333 "," 133,500 ",image issue,131900," 4,667 ",13 HFA T3," 141,000 ",133600," 2,240 "," 8,900 ",,,
19 HFAB White,Haier 19HFA W T3 1.5 TON DC Inverter-By Electronics World," 152,000 "," 158,000 "," 169,892 "," 170,000 ",image issue,162999, (411),19 HFAB White," 175,500 ",174700," 5,230 "," 5,950 ",,,
24 HFAB WHITE,Haier 24HFA W T3 2 TON DC Inverter-By Electronics World," 195,500 "," 201,500 "," 216,667 "," 216,500 ",OK,215000," 4,450 ",24 HFAB WHITE," 225,500 ",225000," 7,000 "," 7,450 ",,,
