,,,
HAIER FRONT LOAD WASHING MACHINE,,,
,,,
ID,PRODUCT,SKU,RATE
1022810,HAIER HW80-BP12929S6 8 KG Inverter Front Load Washing Machine/On Installments,HAIER HW80-BP12929S6 8 KG-BE-On Installments-4," 163,000 "
1026469,Haier 8kg Front Load Washing Machine HWM 80-BP12929-S3/On Installment,Haier 8kg HWM 80-BP12929-S3-BE-On Installment," 163,000 "
1026492,Haier 9KG Inverter Front Load Washing Machine HW90-BP14959-S8/On Installment,Haier 9KG Inverter HW90-BP14959-S8-BE-On Installment," 178,000 "
1026507,Haier Front Load Wasing Machine  HWM 100-BP14929-S3/On Installment,Haier HWM 100-BP14929-S3-BE-On Installment-4," 192,500 "
1026536,Haier 10.5Kg Washer/Dryer Front Load Washing Machine Wifi HWD 105-B14959-S8U1/On Installment,Haier 10.5Kg HWD 105-B14959-S8U1-BE-On Installment," 248,500 "
,,,
,,,
PEL MICROWAVE,,,
,,,
ID,PRODUCT,SKU,RATE
1026567,PEL Microwave - PMO-20W Classic (Manual)/On Installment,PEL Microwave PMO-20W Classic-BE-On Installment," 23,000 "
1026572,PEL Microwave Oven PMO-20 BH Classic Plus/On Installment,PEL PMO-20BH Classic Plus-BE-On Installment," 23,500 "
1026578,PEL PMO-23 SLM 23 Ltr Desire Microwave Oven/On Installments,PEL PMO-23SLM 23Ltr Desire MWO-BE-On Installments," 28,500 "
1026583,PEL PMO 23 SLD Silver Line Microwave Oven 23 Liter/On Installments,PEL PMO 23SLD SilverLine 23 Liter-BE-On Installments-4," 30,500 "
1026603,PEL PMO 30BG Glamour Microwave Oven 30 Ltr/On Istallments,PEL PMO-30BG Glamour 30Ltr-BE-On Istallments-4," 38,500 "
1026618,PEL PMO 38BG Glamour Microwave Oven 38 Ltr/On Installments,PEL PMO 38BG Glamour 38 Ltr-BE-On Installments-4," 44,000 "
1026630,PEL PMO-23 Desire Microwave Oven/On Installments,PEL PMO-23 Desire-BE-On Installments-4," 32,500 "
1026646,PEL PMO-26 Desire Microwave Oven/On Installments,PEL PMO-26 Desire -BE-On Installments," 35,500 "
1026674,Pel PMO-30 Desire Microwave Oven 30 Litres/On Installments,Pel PMO-30 Desire -BE-On Installments," 40,500 "
1026698,PEL PMO-25 Convection Microwave Oven/On Installments,PEL PMO-25 Convection-BE-On Installments," 43,000 "
1026721,PEL PMO-26 Chef Digital Microwave Oven/On Installments,PEL PMO-26 Chef Digital-BE-On Installments," 37,000 "
,Pel PMO-30 Desire Microwave Oven | 30 Litres/On Installments,Pel PMO-30 Desire-BE-On Installments," 45,000 "
,,,
,,,
PHILLIPS COFFEE MACHINE,,,
,,,
ID,PRODUCT,SKU,RATE
1022625,Philips Espresso EP2220 Fully automatic espresso machines/On Installments,Philips Espresso EP2220-BE-On Installments-4," 160,000 "
1022673,PHILLIPS Espresso Machines EP2230/On Installments,PHILLIPS Espresso Machines EP2230-BE-On Installments-4," 198,000 "
1022722,Philips EP3246/70 Fully automatic espresso machines/On Installments,Philips Esprosso machine EP3246-BE-On Installments," 242,000 "
,,,
,,,
TCL AC,,,
,,,
ID,PRODUCT,SKU,RATE
1023248,TCL Elite TAC-24HEA 2 Ton-BE-On Installments,TCL Elite TAC-24HEA 2 Ton-BE-On Installments," 198,400 "
,,,
