PEL MICROWAVE,,,,,,,,,
,,,,,,,,,
ID,PRODUCT,SKU,RATE,,,,,,
1026567,PEL Microwave - PMO-20W Classic (Manual)/On Installment,PEL Microwave PMO-20W Classic-BE-On Installment," 23,000 ",,,,,,
1026572,PEL Microwave Oven PMO-20 BH Classic Plus/On Installment,PEL PMO-20BH Classic Plus-BE-On Installment," 23,500 ",,,,,,
1026578,PEL PMO-23 SLM 23 Ltr Desire Microwave Oven/On Installments,PEL PMO-23SLM 23Ltr Desire MWO-BE-On Installments," 28,500 ",,,,,,
1026583,PEL PMO 23 SLD Silver Line Microwave Oven 23 Liter/On Installments,PEL PMO 23SLD SilverLine 23 Liter-BE-On Installments-4," 30,500 ",,,,,,
1026603,PEL PMO 30BG Glamour Microwave Oven 30 Ltr/On Istallments,PEL PMO-30BG Glamour 30Ltr-BE-On Istallments-4," 38,500 ",,,,,,
1026618,PEL PMO 38BG Glamour Microwave Oven 38 Ltr/On Installments,PEL PMO 38BG Glamour 38 Ltr-BE-On Installments-4," 44,000 ",,,,,,
1026630,PEL PMO-23 Desire Microwave Oven/On Installments,PEL PMO-23 Desire-BE-On Installments-4," 32,500 ",,,,,,
1026646,PEL PMO-26 Desire Microwave Oven/On Installments,PEL PMO-26 Desire -BE-On Installments," 35,500 ",,,,,,
1026674,Pel PMO-30 Desire Microwave Oven 30 Litres/On Installments,Pel PMO-30 Desire -BE-On Installments," 40,500 ",,,,,,
1026698,PEL PMO-25 Convection Microwave Oven/On Installments,PEL PMO-25 Convection-BE-On Installments," 43,000 ",,,,,,
1026721,PEL PMO-26 Chef Digital Microwave Oven/On Installments,PEL PMO-26 Chef Digital-BE-On Installments," 37,000 ",,,,,,
,Pel PMO-30 Desire Microwave Oven | 30 Litres/On Installments,Pel PMO-30 Desire-BE-On Installments," 45,000 ",,,,,,
,,,,,,,,,
