MODEL IN LIST,ALFA PRODUCT UPLOADED,LIST PRICE,PROFIT - DC,ALFA 10%,FINAL ,LOWEST C-O YASIN,,MODEL IN LIST NOT AT ALFA,LIST PRICE,,LOWEST,Elec. World,DIFF,CHANGED TO LOWEST,,,
DAWLANCE,,,,,,,,,,,,,,,,,
DW-6000,Dawlance DS-6000 Spinner Dryer-By Electronics World," 16,500 "," 22,500 "," 24,194 "," 24,000 "," 20,599 ", Image Issue ,,,,22900," 22,899 ", 1 ,22899,,,
DW-6100-W,Dawlance DW-6100-W Single Tub-By Electronics World," 20,500 "," 26,500 "," 28,495 "," 28,500 "," 24,670 ", Image Issue ,DS-6010," 18,500 ",,28799," 28,780 ", 19 ,28780,,,
DW-6100 Advanco,Dawlance DW-6100 W Advanco-By Electronics World," 21,500 "," 27,500 "," 29,570 "," 29,500 "," 28,490 ", Image Issue ,DS-6050," 18,500 ",,29999," 29,980 ", 19 ,29980,,,
DW-6550-W,Dawlance DW-6550 Twin Tub-By Electronics World," 34,000 "," 40,000 "," 43,011 "," 43,000 "," 36,860 ", Image Issue ,DS-6080," 18,500 ",,37400," 41,500 "," (4,100)",41500,,,
DW-7200 WFL,Dawlance DW-7200 Single Tub-By Electronics World," 20,500 "," 26,500 "," 28,495 "," 28,500 "," 24,380 ", Image Issue ,DW-6550 C Advanco," 34,500 ",,25100," 27,500 "," (2,400)",27500,,,
DW-7200 CFL,Dawlance DW-7200 Single Tub-By Electronics World," 20,500 "," 26,500 "," 28,495 "," 28,500 "," 24,380 ", Image Issue ,DW-6550 G," 37,500 ",,25400," 27,500 "," (2,100)",27500,,,
DW-7500 C,Dawlance DW-7500 C Twin Tub-By Electronics World," 38,000 "," 44,000 "," 47,312 "," 47,500 "," 43,100 ", Image Issue ,DW-6580 WFL," 32,800 ",,49275," 48,000 "," 1,275 ",48000,,,
DW-7500 G,Dawlance DW-7500 G Twin Tub-By Electronics Worlds," 40,000 "," 46,000 "," 49,462 "," 49,500 "," 49,500 ", Image Issue ,DW-6580 CFL," 35,000 ",,51000," 51,000 ", -   ,50500,,,
DW-9000,Dawlance DS-9000 Spinner Dryer-By Electronics World," 23,500 "," 29,500 "," 31,720 "," 31,500 "," 30,600 ", Image Issue ,DW-10600 WFL," 45,000 ",,30599," 33,500 "," (2,901)",30580,,,
DW-9100 Advanco,Dawlance DW-9100 Advanco Single Tub Washer-By Electronics World," 27,000 "," 33,000 "," 35,484 "," 35,500 "," 36,890 ", Image Issue ,DW-10600 CFL," 45,500 ",,35799," 38,500 "," (2,701)",35780,,,
DW-9100 G,Dawlance DW 9100 Glass Lid Single Tub Washer-By Electronics World," 29,000 "," 35,000 "," 37,634 "," 37,500 "," 37,500 ", Image Issue ,DW-14711 FLT," 83,500 ",,38399," 39,500 "," (1,101)",38380,,,
DW-9200 WFL,Dawlance DW 9200 WFL-By Electronics World," 26,500 "," 32,500 "," 34,946 "," 35,000 "," 30,700 ", Image Issue ,DW-14470 ES," 80,000 ",,35399," 36,500 "," (1,101)",35380,,,
DW-9200 CFL,Dawlance DW 9200 CFL-By Electronics World," 27,000 "," 33,000 "," 35,484 "," 35,500 "," 34,990 ", Image Issue ,,,,35799," 37,000 "," (1,201)",35780,,,
DW 8550,Dawlance 8550 Twin Tub-By Electronics World," 37,000 "," 43,000 "," 46,237 "," 46,000 "," 39,740 ", Image Issue ,,,,47999," 48,500 ", (501),47950,,,
DW-10500,Dawlance DW-10500 SEMi-AUTO TWIN-By Electronics World," 44,000 "," 50,000 "," 53,763 "," 53,800 "," 49,240 ", Image Issue ,,,,50700," 56,000 "," (5,300)",54500,,,
DW-260 LVS Golden,Dawlance DW-260 LVS-By Electronics World," 67,000 "," 73,000 "," 78,495 "," 78,500 "," 78,500 ", Image Issue ,,,,81799," 82,000 ", (201),81780,,,
DWT-270 C LVS+ ,DWT-270 C LVS+ -By Electronics World," 77,000 "," 83,000 "," 89,247 "," 89,000 "," 89,000 ", Image Issue ,,,,94700," 93,500 "," 1,200 ",0,,,
DW-1165,Dawlance DW-1165-By Electronics World," 70,000 "," 76,000 "," 81,720 "," 81,500 "," 81,500 ", Image Issue ,,,,77300," 85,500 "," (8,200)",84500,,,
DW-1167 FLP,Dawlance DW-1167 FLP-By Electronics World," 64,500 "," 70,500 "," 75,806 "," 75,800 "," 74,990 ", Image Issue ,,,,75000," 79,500 "," (4,500)",78500,,,
DW-11467 es,," 55,000 "," 61,000 "," 65,591 "," 65,500 ", -   , Image Issue ,NO,,,69400," 80,000 "," (10,600)",0,,,
DW-11671 FLT,Dawlance DW-1167 FLT-By Electronics World," 70,500 "," 76,500 "," 82,258 "," 82,000 "," 82,000 ", Image Issue ,,,,85900," 86,500 ", (600),85850,,,
DW-1775,Dawlance DW-1775-By Electronics World," 116,000 "," 122,000 "," 131,183 "," 131,000 "," 124,799 ", Image Issue ,,,,128700," 138,500 "," (9,800)",138000,,,
DWT-1166 ADS,Dawlance DW-1166 ADS-By Electronics World," 78,000 "," 84,000 "," 90,323 "," 90,500 "," 85,050 ", Image Issue ,,,,86700," 95,000 "," (8,300)",94500,,,
DWT-1470 PL,Dawlance DW-1470 PL-By Electronics World," 81,000 "," 87,000 "," 93,548 "," 93,500 "," 93,500 ", Image Issue ,,,,97000," 97,000 ", -   ,0,,,
DW-1471 FLP,Dawlance DW-1471 FLP-By Electronics World," 74,500 "," 80,500 "," 86,559 "," 86,500 "," 86,500 ", Image Issue ,,,,82600," 91,000 "," (8,400)",90500,,,
DW-9060,Dawlance DW-9060-By Electronics World," 56,000 "," 62,000 "," 66,667 "," 66,500 "," 62,680 ", Image Issue ,,,,62600," 70,000 "," (7,400)",69500,,,
DWT 9540,," 59,500 "," 65,500 "," 70,430 "," 70,500 ", -   ,,NO,,,74000," 74,000 ", -   ,0,,,
DWT 9560,," 62,000 "," 68,000 "," 73,118 "," 73,000 ", -   ,,NO,,,76875," 76,500 ", 375 ,75850,,,
HAIER,,,,,, -   ,,,,,,, -   ,0,,,
HWM 60-50,Haier HWM 60-50 Spinner-By Electronics World," 17,000 "," 23,000 "," 24,731 "," 24,800 "," 17,999 ", Image Issue ,,,,19500," 25,500 "," (6,000)",24000,,,
HWM 80-1217,Haier HWM 80-1217  8KG-By Electronics World," 18,500 "," 24,500 "," 26,344 "," 26,500 "," 23,780 ", Image Issue ,,,,24499," 28,000 "," (3,501)",25500,,,
HWM-120-35,Haier HWM-120-35 Washer-By Electronics World," 24,500 "," 30,500 "," 32,796 "," 32,800 "," 29,990 ", Image Issue ,,,,28950," 33,500 "," (4,550)",32500,,,
HWM-130-1217 GB,Haier HWM-130-1217 Semi Auto Series-By Electronics World," 25,000 "," 31,000 "," 33,333 "," 33,500 "," 27,990 ", Image Issue ,HWM-130-1217 WB," 23,000 ",,29000," 35,000 "," (6,000)",34000,,,
HWM-75 AS,Haier HWM-75 AS Twin Tub-By Electronics World," 23,500 "," 29,500 "," 31,720 "," 31,700 "," 29,990 ", Image Issue ,HWM-80 CS," 27,500 ",,31450," 34,500 "," (3,050)",33000,,,
HWM 80 AS,Haier HWM-80 AS Twin Tub-By Electronics World,," 6,000 "," 6,452 ",, -   ,,HWM 120AS GREY," 43,000 ",,32900," 36,000 "," (3,100)",35000,,,
HWM 100 AS,Haier HWM 100 AS Twin Tub-By Electronics World,," 6,000 "," 6,452 ",, -   ,,HWM 110-1169," 34,000 ",,36900," 39,500 "," (2,600)",38500,,,HAIER HWM-85-1708 Automatic Top Load-By Electronics World
HWM 100 CS,HAIER HWM 100 CS TWIN TUB-By Electronics World," 29,500 "," 35,500 "," 38,172 "," 38,000 "," 30,990 ", Image Issue ,HWM-120-826 GT," 74,000 ",,40299," 41,000 ", (701),40280,,,HAIER HWM-80-1708 Automatic Top Load-By Electronics World
HWM 100 BS,Haier HWM 100 BS Twin Tub-By Electronics World,," 6,000 "," 6,452 ",, -   ,,HWM-120-826 S6," 76,000 ",,37899," 40,000 "," (2,101)",37880,,,Haier HWM-85-826-8.5 Kg Fully Automatic Washing Machine-By Electronics World
HWM-120 AS MG,Haier HWM-120 AS Washer and Spinner-By Electronics World," 41,500 "," 47,500 "," 51,075 "," 51,000 "," 48,890 ", Image Issue ,HWM-150-826 BT," 80,000 ",,51499," 55,000 "," (3,501)",53500,,,Haier HWM 120-1678 ES8-12 Kg Top Load Automatic Washing Machine-By Electronics World
HWM 80-186,Haier HWM-80-186 Semi Automatic-By Electronics World," 34,000 "," 40,000 "," 43,011 "," 43,000 "," 39,099 ", Image Issue ,HWM-150-826 S," 81,000 ",,37800," 45,000 "," (7,200)",44000,,,Haier HWM 150-826-15 kg Fully Auto Washing Machine-By Electronics World
HWM 110-186,Haier HWM 110-186 Twin Tub-By Electronics World," 36,500 "," 42,500 "," 45,699 "," 45,700 "," 41,970 ", Image Issue ,HWM-150-826 BG," 82,500 ",,46779," 48,000 "," (1,221)",46750,,,Haier HWM-150-1789-Top load Automatic Washing Machine 15 KG-By Electronics World
HWM-80-1269 X,HAIER HWM-80-1269 X Automatic Top Load -By Electronics World,," 6,000 "," 6,452 ",, -   ,,HWM 150-1678 ES8," 90,000 ",,56999," 61,500 "," (4,501)",60500,,,
HWM 85-826 E,HAIER HWM 85-826 E Full Automatic 8.5kg Top Load Washing Machine-By Electronics World," 51,500 "," 57,500 "," 61,828 "," 61,800 "," 58,790 ", Image Issue ,HWM-200-BD2178 S8," 182,500 ",,62999," 65,500 "," (2,501)",,,,
