HAIER W/M,,,DAWLANCE WM,,,Pel Washing machine,,,KENWOOD WASHING MACHINE,,
Item,NET,ADD 500,Item,NET,ADD 500,Item,  Net  ,ADD 500,Item, NET ,ADD 500
HWM 60-50," 16,400 "," 16,900 ",DW-6000," 18,000 "," 18,500 ",PWMS-8050," 22,500 "," 23,000 ",KWM-1010," 31,000 "," 31,500 "
HWM 80-35," 18,300 "," 18,800 ",DW-6100-W," 21,000 "," 21,500 ",PAWM 900," 65,000 "," 65,500 ", KWM-1012 ," 32,000 "," 32,500 "
HWM 80-50," 18,600 "," 19,100 ",DW-6100 Advanco," 23,000 "," 23,500 ",PAWM 900i," 69,500 "," 70,000 ",KWM-950," 28,000 "," 28,500 "
HWM-80-60," 18,800 "," 19,300 ",DW-6550-W," 33,500 "," 34,000 ",PAWM 1100," 77,000 "," 77,500 ", KWM-21059 ," 29,500 "," 30,000 "
HWM-75 AS," 25,500 "," 26,000 ",DW-6550 C Advanco," 36,500 "," 37,000 ",PAWM 1100i," 81,000 "," 81,500 ", KWM-21159 ," 32,000 "," 32,500 "
HWM 80 AS," 26,500 "," 27,000 ",DW-6550 G," 39,000 "," 39,500 ",PWMS-1250," 25,500 "," 26,000 ", KWM-231159 ," 33,000 "," 33,500 "
HWM 80-186," 30,000 "," 30,500 ",DW-7200 ," 21,000 "," 21,500 ",PWMS-1050," 35,000 "," 35,500 ", KWM-899 WASHER ," 18,500 "," 19,000 "
HWM 110-186," 37,000 "," 37,500 ",DW-7500 C," 39,000 "," 39,500 ",Super Asia,,, KWS- 1050 SPINNER ," 18,000 "," 18,500 "
HWM 80-1217," 19,400 "," 19,900 ",DW-7500 G," 42,000 "," 42,500 ",Item,  Net  ,,HOMAGE WASHING MACHINE,,
HWM 100 AS," 29,600 "," 30,100 ",DW-9000," 24,800 "," 25,300 ",WASHER,,ADD 500,Item, NET ,ADD 500
HWM 100 BS," 31,000 "," 31,500 ",DW-9100 Advanco," 29,500 "," 30,000 ",SA 110," 8,800 "," 9,300 ", HWM-49112 GD ," 30,500 "," 31,000 "
HWM-120-35," 23,500 "," 24,000 ",DW-9100 G," 31,000 "," 31,500 ",SA 111," 19,000 "," 19,500 ", HWM-49112 P ," 29,000 "," 29,500 "
HWM-130-1217," 24,000 "," 24,500 ",DW-9200 WFL," 27,500 "," 28,000 ",SA 210," 12,000 "," 12,500 ", HWM-49102 P ," 25,000 "," 25,500 "
HWM 120AS GREY," 42,500 "," 43,000 ",DW-9200 CFL," 27,500 "," 28,000 ",SA 233," 21,500 "," 22,000 ", HWM-49102 GD ," 26,500 "," 27,000 "
HWM 120AS M/W," 43,000 "," 43,500 ",DW 8550," 37,500 "," 38,000 ",SA 240 Shower wash," 22,500 "," 23,000 ", HWM-4991 ," 17,500 "," 18,000 "
,,,DW-10500," 46,500 "," 47,000 ",SA 255," 19,000 "," 19,500 ", HWM-49101Spinner ," 17,000 "," 17,500 "
,,,DW-10600," 47,000 "," 47,500 ",SA 260," 19,000 "," 19,500 ",,,
HAIER AUTOMATIC,,,DAWLANCE AUTO,,,SA 270," 19,900 "," 20,400 ",,,
Item,NET,ADD 1000,Item,NET,ADD 1000,SA 272," 20,000 "," 20,500 ",,,
HWM-80-1269 X," 48,500 "," 49,500 ",DW-260 LVS Golden," 76,000 "," 77,000 ",SA 280," 34,800 "," 35,300 ",,,
HWM-80-1708," 53,500 "," 54,500 ",DWT-270 C LVS+ ," 89,000 "," 90,000 ",SA 290," 25,800 "," 26,300 ",,,
HWM-85-1708," 60,500 "," 61,500 ",DW-1165," 72,500 "," 73,500 ",WASH & SPIN,,ADD 1000,,,
HWM 85-826 E," 51,500 "," 52,500 ",DW-1167 FLP," 67,000 "," 68,000 ",SA 241," 28,000 "," 29,000 ",,,
HWM 85-826," 53,000 "," 54,000 ",DW-11671 FLT," 73,000 "," 74,000 ",SA 242," 31,000 "," 32,000 ",,,
HWM 90-1708 ," 59,500 "," 60,500 ",DW-1775," 129,000 "," 130,000 ",SA 244," 32,000 "," 33,000 ",,,
HWM 90-826," 61,500 "," 62,500 ",DWT-1166 ADS," 81,000 "," 82,000 ",SA 245," 32,000 "," 33,000 ",,,
HWM 90-1789," 63,500 "," 64,500 ",DWT-1470 PL," 92,000 "," 93,000 ",SPIN DRYER,,ADD 500,,,
HWM 95-1678 ES8/JT," 72,000 "," 73,000 ",DW-1471 FLP," 80,000 "," 81,000 ",SA-518," 15,600 "," 16,100 ",,,
HWM-120-826 E," 76,000 "," 77,000 ",DW-14711 FLT," 95,000 "," 96,000 ",SD-525," 15,500 "," 16,000 ",,,
HWM-120-826 B," 78,500 "," 79,500 ",DW-14470 ES,,,SA-540," 22,500 "," 23,000 ",,,
HWM 120-1789," 85,500 "," 86,500 ",DW-9060," 63,000 "," 64,000 ",SA 550," 18,900 "," 19,400 ",,,
HWM 120-1678," 102,000 "," 103,000 ",,,,SA 555," 19,700 "," 20,200 ",,,
HWM 120-1678 ES8," 97,000 "," 98,000 ",,,,SA 570," 19,900 "," 20,400 ",,,
