Product ID ,Title ,Description  ,Vendor ,Brands ,Product Type ,Category ,Tags ,SEO Title ,SEO Description ,Product Images,Option1 Name ,Option1 Value ,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU ,Variant Barcode ,Variant Weight ,Variant Weight Unit  ,Variant Price ,Variant Compare At Price  ,Variant Bin Number,Variant Quantity ,Handle ,Size Chart,Collection,Short Description ,Commission Percentage,Attribute_Air Conditioner Type ,Attribute_Washing Machine Type,Attribute_Washing Machine Capacity,Attribute_Product Type,Attribute_Display Size,Attribute_Capacity,Attribute_Warranty  ,Attribute_Air Conditioner Capacity ,Attribute_Refrigerator Type,Attribute_Microwave Type,Attribute_INV/NON-INV,Attribute_Processor,Attribute_Water Dispenser Type,Attribute_LED Type,Attribute_Geyser Type,Attribute_Geyser Capacity,Attribute_Watts,Attribute_Volt,Attribute_Generation,Attribute_Fan Type,Attribute_Battery,Attribute_Core,Attribute_Capacity,Attribute_Thickness,Attribute_BNPL,Attribute_Fragrance Type,Attribute_Lasting,Attribute_Sillage / Projection,Attribute_Season,Attribute_UPS Inverter Type,Attribute_Generator Types,Attribute_Watch Sizes,Attribute_Watch Display Type,Attribute_Watch Band,Attribute_Watch Sensor Feature,Attribute_SKin Type,Attribute_Air Cooler Category
,ORIENT SPLIT AC MEGA 12X – 1 Ton T3 DC Inverter Heat & Cool ,"The Orient 12X Mega Pearl White is a powerful 1-Ton (12,000 BTU) DC Inverter AC built to deliver extreme cooling in harsh climates. Equipped with a T3 Tropicalized Desert Pro compressor, a 100% pure copper condenser with Gold Fin anti-corrosion coating, and smart Wi-Fi controls, this heat-and-cool unit can operate efficiently even in outdoor temperatures up to 60°C.",Electronics World,ORIENT,"home appliances,air conditioners",11639_11643_11653_11782_11783,"T3TropicalInverter, HeatAndCoolAC, SmartWiFiAC, DesertProCompressor",Orient Mega 12X Pearl White T3+,Orient Mega 12X Pearl White T3+,https://www.orient.com.pk/assets/products-images-2026/air-conditioners/1-ton-ultron-mega-ecomfort-dc-inverter.png.webp,Color,White,,,,,ORIENT-MEGA-12X-PEARL-WHITE-T3+ ,ORIENT-MEGA-12X-PEARL-WHITE-T3+ ,65,kg,119130,124130,,100,orient-mega-12x-pearl-white-t3+,,,"The Orient 12X Mega  is a 1-Ton DC Inverter AC featuring a T3 compressor for extreme 60°C cooling, smart Wi-Fi control, and a durable copper build.",,Split,,,,,,10 Years,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orient 1 Ton 12G Lunar Grace Golden,"The Orient 12G Lunar Grace Golden is a sleek, 1-ton Full DC Inverter Air Conditioner designed for all-season comfort. It features a modern, gold-finished indoor unit that complements contemporary interiors. Equipped with a heavy-duty T3 Tropical compressor and anti-rust Gold Fin coating",Electronics World,ORIENT,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Full DC Inverter AC, Heat and Cool AC,  Gold Fin Anti Rust Coating",Orient 12G Lunar golden,Orient 12G Lunar golden,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0Ti3b7kYxj4DZOaV-49hS8fQ23grQT2__fIJxHhLx5sNXRW8IlUSqpRs&s=10,Color,Golden,,,,,ORIENT-12G-LUNAR-GOLDEN ,ORIENT-12G-LUNAR-GOLDEN ,65,kg,"120,217","125,217",,100,orient-12g-lunar-golden,,,"A premium 1-ton Full DC Inverter AC featuring a striking metallic gold finish, energy-efficient heat-and-cool operation",,Split,,,,,,10 Years,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orient Everest 12W Geo White,"The Orient Everest 12W Geo White is a 1-ton (12,000 BTU) DC inverter air conditioner from the Cooltron series. Designed for smaller spaces like bedrooms or home offices up to 150 square feet, this ""cool only"" model delivers high-speed performance through advanced 4D long air throw and an oversized indoor unit.",Electronics World,ORIENT,"home appliances,air conditioners",11639_11643_11653_11782_11783,"4D Air Throw, Ampere Lock, Solar Compatible AC, Auto Clean Sterilization",Orient Everest 12W Geo White,Orient Everest 12W Geo White,https://www.orient.com.pk/assets/products-images-2026/air-conditioners/1-ton-everest-geo-white-dc-inverter.png.webp,Color,White,,,,,ORIENT-EVEREST-12W-GEO-WHITE,ORIENT-EVEREST-12W-GEO-WHITE,65,kg,105000,110000,,100,orient-everest-12w-geo-white,,,"A 1-ton, energy-efficient ""cool only"" DC inverter air conditioner featuring an elegant white geometric design.",,Split,,,,,,10 Year,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orient FA 18X Snow White,"The Orient FA-18X Snow White is a high-performance 1.5-ton DC inverter split air conditioner designed to withstand harsh tropical climates. Equipped with a heavy-duty T3 compressor and 100% pure copper tubing,",Electronics World,ORIENT,"home appliances,air conditioners",11639_11643_11653_11782_11783,"4D Air Throw, Ampere Lock, Solar Compatible AC, Auto Clean Sterilization",Orient FA 18X Snow White,Orient FA 18X Snow White,https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-fa-snow-white-dc-inverter-d9f71156.png.webp,Color,White,,,,,ORIENT-FA-18X-SNOW-WHITE,ORIENT-FA-18X-SNOW-WHITE,65,kg,146304,151304,,100,orient-fa-18x-snow-white,,,"A sleek, 1.5-ton energy-saving split inverter AC built for extreme summer heat with dual heat-and-cool functionality and an elegant white finish.",,Split,,,,,,10 Year,! Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orient Everest 18W Geo White,"The Orient Everest 18W Geo White is a 1.5-ton ""Cool Only"" DC inverter split air conditioner. Powered by a T3 Tropicalized Desert Pro compressor and dynamic AI technology, it delivers up to 85% energy savings and efficient cooling in extreme temperatures up to 60°C.",Electronics World, ORIENT,"home appliances,air conditioners",11639_11643_11653_11782_11783,"SmartAC, WiFiEnabled ,VoiceControl ,AutoClean",Orient Everest 18W Geo White 1.5 Ton Inverter AC,Orient Everest 18W Geo White 1.5 Ton Inverter AC,https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-everest-geo-white-dc-inverter.png.webp,Color,White,,,,,ORIENT-EVEREST-18W-GEO-WHITE,ORIENT-EVEREST-18W-GEO-WHITE,65,kg,126739,131739,,100,orient-everest-18w-geo-white,,,"A highly energy-efficient, 1.5-ton AI inverter split AC designed for extreme heat, featuring an Ampere Lock eco mode, pure copper build.",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,Orient Infinity 18X Silver Matt T3+,"The Orient 18X Infinity Matt Silver is a premium 1.5-Ton Heat & Cool DC Inverter AC designed for extreme climates. It features a T3 Tropicalized compressor that operates at up to 60°C, an ""Ampere Lock"" feature for solar and power savings, and an extra-large indoor unit that delivers a massive 50-foot 4D air throw.",Electronics World, ORIENT,"home appliances,air conditioners",11639_11643_11653_11782_11783,"Premium AC,18000 BTU Inverter,Energy Saving, AC Low Voltage ",Orient 18X Infinity 1.5 Ton DC Inverter AC - Matt Silver,Orient 18X Infinity 1.5 Ton DC Inverter AC - Matt Silver,https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-megatron-infinity-ecomfort-dc-inverter.png.webp,Color,Silver,,,,,ORIENT-INFINITY-18X-SILVER-MATT-T3+,ORIENT-INFINITY-18X-SILVER-MATT-T3+,65,kg,184348,189348,,100,orient-infinity-18x-silver-matt-t3+,,,"A powerful, solar-friendly 1.5-Ton DC Inverter AC built to cool larger rooms efficiently even in extreme 60°C heat.",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,EcoStar AC 12EMC1 1 Ton Inverter Split AC ,"The EcoStar 12EMC1 White is a 1-Ton (12,000 BTU) Heat & Cool Inverter Split AC. It features an eco-friendly R32 refrigerant, a low standby power mode (0.3W), 4D airflow for even cooling, and built-in protection to handle voltage drops down to 150V without a stabilizer.",Electronics World,ECOSTAR,"home appliances,air conditioners",11639_11643_11653_11782_11783,"EnergySaving, EcoFriendly,LowPowerConsumption ,,AffordableInverter",EcoStar 1-Ton Inverter AC 12EMC1 White,EcoStar 1-Ton Inverter AC 12EMC1 White,https://www.surmawala.pk/cdn/shop/files/emc-10.jpg?v=1776872697,Color,White,,,,,ECOSTAR-AC-1TON-INVERTER-SPLIT-AC,ECOSTAR-AC-1TON-INVERTER-SPLIT-AC,65,kg,102826,107826,,100,ecostar-ac-1ton-inverter-split-ac,,," A energy-efficient 1-ton inverter split AC (Heat & Cool) featuring eco-friendly R32 refrigerant, stabilizer-free low-voltage startup.",,Split,,,,,,10 Year,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,EcoStar Emperor Cool Series ES-18EMC1WS 1.5 Ton Split AC,"The EcoStar 1.5 Ton Cool-Only Inverter AC (ES-18EMC1 WHITE) is a budget-friendly, energy-efficient air conditioner utilizing eco-friendly R32 refrigerant. It features 65Hz quick cooling, 4D airflow, 150V–270V low-voltage operation, and corrosion-resistant Gold Fin coils.",Electronics World,ECOSTAR,"home appliances,air conditioners",11639_11643_11653_11782_11783,"HomeAppliances,AirConditioners,SplitAC ,BudgetFriendlyAC",EcoStar 1.5 Ton Cool-Only Inverter AC,EcoStar 1.5 Ton Cool-Only Inverter AC,https://gulfelectronics.pk/wp-content/uploads/2025/07/ye-mujhe-white-background-main-share-karoo-2026-03-05T131249.436.jpg,Color,White,,,,,ECOSTAR-EMPEROR-COOL-1.5TON-SPLIT-AC,ECOSTAR-EMPEROR-COOL--1.5TON-SPLIT-AC,65,kg,124565,129565,,100,ecostar-emperor-cool-1.5-ton-split-ac,,,"A 1.5-ton, cool-only inverter AC featuring fast cooling, wide voltage stability, rust-resistant coils, and eco-friendly R32 gas.",,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,EcoStar Emperor Series 1 TON White Split Air Conditioner,"The EcoStar Emperor White is an energy-efficient, DC Inverter Heat & Cool air conditioner featuring R32 refrigerant, low-voltage operation down to 150V, and a rust-resistant Gold Fin condenser.",Electronics World,ECOSTAR,"home appliances,air conditioners",11639_11643_11653_11782_11783,"EcoStarEmperor, DCInverterAC ,HeatAndCool  ,HomeAppliances",EcoStar Emperor White DC Inverter AC,EcoStar Emperor White DC Inverter AC,https://cdn.comverseglobal.com/alfa/products/product_images/17805610978198597_040626131817990568.jpg,Color,White,,,,,ECOSTAR-EMPEROR-WHITE-AIR-CONDITIONER,ECOSTAR-EMPEROR-WHITE-AIR-CONDITIONER,65,kg,105000,110000,,100,ecostar-emperor-white-air-conditioner,,,A highly efficient DC Inverter AC (Heat & Cool) with R32 refrigerant and anti-rust gold fin protection,,Split,,,,,,10 Year,1 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
,EcoStar Emperor Cool Series 1.5 TON Split AC,"The EcoStar Emperor 18 White is a 1.5-ton full DC inverter AC (Heat & Cool) featuring eco-friendly R32 gas, low-voltage startup, and ""Ampere Lock"" power control for maximum energy savings.",Electronics World,ECOSTAR,"home appliances,air conditioners",11639_11643_11653_11782_11783,"EcoStarAC,AirConditioner,CoolingSolutions,EnergySaving",EcoStar Emperor 1.5 Ton Inverter AC White,EcoStar Emperor 1.5 Ton Inverter AC White,https://static.tossdown.com/images/d4d2417a-04e4-449a-99e7-24bda86a6a85.webp,Color,White,,,,,ECOSTAR-EMPEROR-COOL-SERIES-SPLIT-AC,ECOSTAR-EMPEROR-COOL-SERIES-SPLIT-AC,65,kg,126739,131739,,100,ecostar-emperor-cool-series-split-ac,,,EcoStar Emperor 18 White is a  energy-efficient inverter AC (Heat & Cool) that uses eco-friendly R32 gas and runs smoothly even on low voltage.,,Split,,,,,,10 Year,1.5 Ton,,,Inverter,,,,,,,,,,,,,,,,,,,,,,,,,,
