ALFA PRODUCT UPLOADED,MODEL IN LIST,LIST PRICE,PROFIT - DC,ALFA 10%,FINAL,MODEL IN LIST NOT AT ALFA,LIST PRICE,,,,,,,
TCL C655 43 Inch Classic 4K QLED TV With Official Warranty ONLY FOR KARACHI-By Electronics World,NO,,,,,"TCL 32"" 3400"," 36,000 ",,,,,,,
"TCL LED 50"" C655 QLED Pro TV With Official Warranty ONLY FOR KARACHI-By Electronics World",NO,,,,,"TCL 55"" C6K"," 195,000 ",,,,,,,
TCL C655 55 Inch Classic 4K QLED TV With Official Warranty ONLY FOR KARACHI-By Electronics World,NO,,,,,"TCL 65"" C6K"," 253,000 ",,,,,,,
"TCL 65"" C655 QLED Pro TV ONLY FOR KARACHI-By Electronics World",NO,,,,,"TCL 75"" C6K"," 376,000 ",,,,,,,
"TCL 65"" C655 QLED Pro TV ONLY FOR KARACHI-By Electronics World","TCL 65"" C655 PRO"," 274,500 "," 289,500 "," 321,667 ",321500,"TCL 85"" C6K"," 590,000 ",,,,,,,
"TCL 75"" C655 QLED Pro TV-ONLY FOR KARACHI-By Electronics World","TCL 75"" C655"," 323,500 "," 338,500 "," 376,111 ",376000,"TCL 55"" P635 (packing issue)"," 102,000 ",,,,,,,
"TCL 75"" C655 QLED Pro TV ONLY FOR KARACHI-By Electronics World","TCL 75"" C655 PRO"," 376,500 "," 391,500 "," 435,000 ",435000,"TCL 65"" C835"," 300,000 ",,,,,,,
TCL C655 85 Inch Classic 4K QLED TV With Official Warranty ONLY FOR KARACHI-By Electronics World,NO,,, -   ,,,,,,,,,,
,,,, -   ,,,,,,,,,,
TCL 32 Inch Led - L5A Smart Android 2024 ONLY FOR KARACHI-By Electronics World,"TCL 32"" L5A"," 45,500 "," 55,500 "," 61,667 ",61500,NO,,,,,,,,
TCL L5A 40 Inch Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World,"TCL 40"" L5A"," 63,500 "," 73,500 "," 81,667 ",81500,NO,,,,,,,,
TCL L5A 43 Inch Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World,"TCL 43"" L5A"," 72,500 "," 82,500 "," 91,667 ",91500,NO,,,,,,,,
,,,, -   ,,,,,,,,,,
TCL 43 inch 43S5200 Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World,NO,,, -   ,,,,,,,,,,
TCL 32 Inch S5400 FHD Smart Bezel Less Android TV With Official Warranty ONLY FOR KARACHI-By Electronics World,"TCL 32"" S5400"," 45,000 "," 55,000 "," 61,111 ",61000,OK,,,,,,,,
TCL S5400 40 Inch FHD Smart Bezel Less Android TV With Official Warranty ONLY FOR KARACHI-By Electronics World,"TCL 40"" S5400"," 61,500 "," 71,500 "," 79,444 ",79500,OK,,,,,,,,
TCL 43 Inch S5400 FHD Smart Bezel Less Android TV With Official Warranty ONLY FOR KARACHI-By Electronics World,"TCL 43"" S5400"," 71,000 "," 81,000 "," 90,000 ",90000,OK,,,,,,,,
,,,, -   ,,,,,,,,,,
TCL 43V6B 43 inch 4K HDR Google TV New Series With Official Warranty ONLY FOR KARACHI-By Electronics World,NO,,, -   ,,,,,,,,,,
"TCL 50"" V6B UHD Google TV ONLY FOR KARACHI-By Electronics World","TCL 50"" V6"," 100,000 "," 115,000 "," 127,778 ",128000,OK,,,,,,,,
"TCL 55"" V6B UHD Google TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,,,,,,,
"TCL 65"" V6B UHD Google TV ONLY FOR KARACHI-By Electronics World",NO,,, -   ,,,,,,,,,,
,,,, -   ,,,,,,,,,,
