ALFA PRODUCT UPLOADED,MODEL IN LIST,LIST PRICE,PROFIT - DC,ALFA 10%,FINAL,MODEL IN LIST NOT AT ALFA,LIST PRICE
HAIER,,,,,,,
Haier HMW 20 MWS 20 Litre-By Electronics World,HMW-20 MWS," 13,500 "," 16,000 "," 17,778 "," 18,000 ",,
Haier HMN 20 MXP5  20 Litre-By Electronics World,HMN 20 MXP5," 13,500 "," 16,000 "," 17,778 "," 18,000 ",,
Haier HMN 20 MXP6 20 Litre-By Electronics World,HMN 20 MXP6," 13,500 "," 16,000 "," 17,778 "," 18,000 ",,
Haier HGL 20 MXP7  20 Litre-By Electronics World,HGL 20 MXP7," 13,500 "," 16,000 "," 17,778 "," 18,000 ",,
Haier HGL 20 MXP8 20 Litre-By Electronics World,HGL 20 MXP8," 13,500 "," 16,000 "," 17,778 "," 18,000 ",,
Haier HGL-25 MXP8 25 Litre-By Electronics World,HGL-25MXP8," 23,000 "," 25,500 "," 28,333 "," 28,500 ",,
Haier HWM-20 MHES  20 Litre-By Electronics World,HMW-20 MHES," 16,500 "," 19,000 "," 21,111 "," 21,000 ",HMN 20 MXP3," 13,500 "
Haier HGL-23100 23 Litre-By Electronics World,NO, -   , -   , -   , -   ,HGL-25MXP9," 22,500 "
Haier HGL-30100 30 Litre-By Electronics World,HGL-30100," 38,000 "," 40,500 "," 45,000 "," 45,000 ",,
Haier HMN-25200 GB 25 Litre-By Electronics World,NO,0, -   , -   , -   ,,
Haier HMN-32100 EGB  32 Litre-By Electronics World,HMN-32100 EGB," 34,500 "," 37,000 "," 41,111 "," 41,000 ",,
Haier HMO-62 MX80 62 Litre-By Electronics World,HMO-62 MX80," 46,000 "," 48,500 "," 53,889 "," 54,000 ",,
Haier HMW-30AFR  30 Litre-By Electronics World,HMW-30 AFR," 49,000 "," 51,500 "," 57,222 "," 57,000 ",,
Haier HMW-30AFS  30 Litre-By Electronics World,HMW-30 AFS," 49,000 "," 51,500 "," 57,222 "," 57,000 ",,
Haier CDL-20MX01  30 Litre-By Electronics World,NO,0, -   , -   , -   ,,
Haier Microwave oven HMW-20 MBS-By Electronics World,HMW-20 MBS," 13,500 "," 16,000 "," 17,778 "," 18,000 ",,
Haier Microwave Oven HMW-20MX11-By Electronics World,HMW-20 MX11," 14,000 "," 16,500 "," 18,333 "," 18,500 ",,
Haier Microwave Oven HMW-20MX12-By Electronics World,HMW-20 MX12," 14,000 "," 16,500 "," 18,333 "," 18,500 ",,
Haier Microwave Oven HMW-20DSS-By Electronics World,HMW-20 DSS Digital," 17,000 "," 19,500 "," 21,667 "," 21,500 ",,
Haier Microwave Oven HMW-20DGS-By Electronics World,HMW-20 DGS GRILL," 20,000 "," 22,500 "," 25,000 "," 25,000 ",,
Haier Microwave Oven HMW-23200-By Electronics World,HGL-23200," 26,500 "," 29,000 "," 32,222 "," 32,000 ",,
Haier Microwave Oven HMW-28100-By Electronics World,HGL-28100," 28,000 "," 30,500 "," 33,889 "," 34,000 ",,
Haier Microwave Oven HMN-45200 ESD-By Electronics World,HMO-45200," 38,000 "," 40,500 "," 45,000 "," 45,000 ",,
DAWLANCE,,,,,,,
Dawlance Microwave Oven DWMO 2515-By Electronics World,NO,0, -   , -   , -   ,,
Dawlance Microwave Oven DWMO 2515-By Electronics World,NO,0, -   , -   , -   ,,
Dawlance Microwave Oven DW 550-By Electronics World,DW-550," 45,000 "," 47,500 "," 52,778 "," 53,000 ",,
Dawlance Microwave Oven DW 530-By Electronics World,DW-530," 42,000 "," 44,500 "," 49,444 "," 49,500 ",,
Dawlance Microwave Oven DW 393-By Electronics World,DW-393," 29,000 "," 31,500 "," 35,000 "," 35,000 ",,
Dawlance Microwave Oven DW-395-By Electronics World,DW-395," 30,000 "," 32,500 "," 36,111 "," 36,000 ",,
Dawlance Microwave Oven DW-390S-By Electronics World,DW-390 S," 24,000 "," 26,500 "," 29,444 "," 29,500 ",,
Dawlance Microwave Oven DW-388-By Electronics World,DW-388," 23,000 "," 25,500 "," 28,333 "," 28,500 ",,
Dawlance Microwave Oven DW-374-By Electronics World,DW-374," 24,500 "," 27,000 "," 30,000 "," 30,000 ",,
Dawlance Microwave Oven DW-297 GSS-By Electronics World,DW-297," 22,000 "," 24,500 "," 27,222 "," 27,000 ",,
Dawlance Microwave Oven DW 295-By Electronics World,DW-295 **," 19,500 "," 22,000 "," 24,444 "," 24,500 ",,
Dawlance Microwave Oven DW 220 S-By Electronics World,DW-220," 16,000 "," 18,500 "," 20,556 "," 20,500 ",,
Dawlance Microwave Oven DW 210 Pro-By Electronics World,DW-210 Pro," 16,200 "," 18,700 "," 20,778 "," 21,000 ",DW-131," 35,500 "
Dawlance Microwave Oven DW 210 Solo-By Electronics World,DW-210 Solo," 15,700 "," 18,200 "," 20,222 "," 20,000 ",,
Dawlance Microwave Oven DW 162 HZP-By Electronics World,DW-162 **," 45,000 "," 47,500 "," 52,778 "," 53,000 ",,
Dawlance Microwave Oven DW 142 HZP-By Electronics World,DW-142 **," 41,500 "," 44,000 "," 48,889 "," 49,000 ",,
Dawlance DW 136 G Grilling Microwave Oven-By Electronics World,DW-136 **," 33,000 "," 35,500 "," 39,444 "," 39,500 ",,
Dawlance DW 133 G Grilling Microwave Oven-By Electronics World,DW-133," 33,500 "," 36,000 "," 40,000 "," 40,000 ",,
Dawlance DW 132 S Heating Microwave Oven-By Electronics World,DW-132," 29,000 "," 31,500 "," 35,000 "," 35,000 ",,
Dawlance DW 128 G Grilling Microwave Oven-By Electronics World,DW-128," 33,000 "," 35,500 "," 39,444 "," 39,500 ",,
Dawlance DW 115 CHZP Baking Microwave Oven-By Electronics World,DW-115 ," 37,000 "," 39,500 "," 43,889 "," 44,000 ",,
Dawlance MD 20 INV Heating Microwave Oven-By Electronics World,MD-20 INV ," 16,500 "," 19,000 "," 21,111 "," 21,000 ",,
Dawlance MD 15 SOLO Heating Microwave Oven-By Electronics World,MD-15," 15,000 "," 17,500 "," 19,444 "," 19,500 ",,
Dawlance DW MD 10 Heating Microwave Oven-By Electronics World,MD-10," 17,500 "," 20,000 "," 22,222 "," 22,000 ",,
Dawlance DW MD 7 Heating Microwave Oven-By Electronics World,MD-7," 18,500 "," 21,000 "," 23,333 "," 23,500 ",,
Dawlance DW MD 4 N Black Heating Microwave Oven-By Electronics World,MD-4 ," 16,500 "," 19,000 "," 21,111 "," 21,000 ",,
ORIENT,,,,,,,
Orient Microwave  Macaroni 20M Solo Black-By Electronics World,20M Macaroni Solo ," 15,000 "," 17,500 "," 19,444 "," 19,500 ",,
Orient Microwave  20M Panini Solo-By Electronics World,20M Panini Solo ," 15,000 "," 17,500 "," 19,444 "," 19,500 ",,
Orient Popcorn 20M Solo Black Microwave-By Electronics World,20M Popcorn Solo ," 18,000 "," 20,500 "," 22,778 "," 23,000 ",,
Orient Kabab 20D Solo Black Microwave-By Electronics World,20D Kabab Solo ," 19,000 "," 21,500 "," 23,889 "," 24,000 ",,
Orient Pasta 23D Grill Black Microwave-By Electronics World,23D Pasta Grill ," 25,500 "," 28,000 "," 31,111 "," 31,000 ",,
Orient Roast 23D Grill Black Microwave-By Electronics World,23D Roast Grill ," 25,500 "," 28,000 "," 31,111 "," 31,000 ",,
Orient Muffin 30D Grill Black Microwave-By Electronics World,30D Muffin Grill ," 34,800 "," 37,300 "," 41,444 "," 41,500 ",,
Orient Pizza 34D Grill Black Microwave-By Electronics World,34D Pizza Grill ," 36,000 "," 38,500 "," 42,778 "," 43,000 ",,
PEL,,,,,,,
PEL PMO-20 BH Classic Plus 20Ltr Microwave Oven-By Electronics World,PMO-20BH CLASSIC PLUS," 17,400 "," 19,900 "," 22,111 "," 22,000 ",PMO-20W CLASSIC," 17,000 "
PEL PMO-23 SLM 23 Ltr Desire Microwave Oven-By Electronics World,PMO-23 SLM," 23,300 "," 25,800 "," 28,667 "," 28,500 ",PMO-25 DESIRE," 28,000 "
PEL PMO-23 SLD 23 Ltr Desire Microwave Oven-By Electronics World,PMO-23 SLD," 24,700 "," 27,200 "," 30,222 "," 30,000 ",PMO-30 CONVECTION," 37,000 "
PEL PMO-30 BG Glamour Microwave Oven 30 Ltr -By Electronics World,PMO-30 BG," 31,000 "," 33,500 "," 37,222 "," 37,000 ",,
PEL PMO-38 BG Glamour Microwave Oven 30 Ltr-By Electronics World,PMO-38 BG," 36,000 "," 38,500 "," 42,778 "," 43,000 ",,
PEL PMO 23 WGM Desire Microwave Oven 23L-By Electronics World,PMO-23 DESIRE," 26,700 "," 29,200 "," 32,444 "," 32,500 ",,
PEL PMO 26 WGM Desire Microwave Oven 26L-By Electronics World,PMO-26 DESIRE," 29,300 "," 31,800 "," 35,333 "," 35,500 ",,
PEL PMO 30 WGM Desire Microwave Oven 30L-By Electronics World,PMO-30 DESIRE," 33,000 "," 35,500 "," 39,444 "," 39,500 ",,
PEL Microwave Oven PMO-25L Convection Series-By Electronics World,PMO-25 CONVECTION," 35,000 "," 37,500 "," 41,667 "," 41,500 ",,
Pel Microwave Oven 26Ltr – Model PMO-26 Chef Series Grill-By Electronics World,PMO-26 CHEF," 30,000 "," 32,500 "," 36,111 "," 36,000 ",,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
