ALFA PRODUCT UPLOADED,MODEL IN LIST,LIST PRICE,PROFIT - DC,ALFA 10%,FINAL,MODEL IN LIST NOT AT ALFA,LIST PRICE
PEL,,,,,,,
PEL 215 WATER DISPENSER-By Electronics World,PWD-215," 29,500 "," 33,500 "," 37,222 "," 37,000 ",Table Top 115," 26,000 "
PEL 315 Water Dispenser-By Electronics World,PWD-315," 32,000 "," 36,000 "," 40,000 "," 40,000 ",,
PEL 316 Premier Water Dispenser-By Electronic World,NO,,,,,,
PEL 425 Flat GD Water Dispenser-By Electronics World,PWD-425," 33,500 "," 37,500 "," 41,667 "," 41,500 ",,
PEL 425 Flat GD Water Dispenser-By Electronics World,PWD-525 GD," 34,500 "," 38,500 "," 42,778 "," 43,000 ",,
PEL 425 Flat GD Water Dispenser-By Electronics World,NO,,,,,,
PEL 525 Curved Glassdoor Dispenser-By Electronics World,NO,,,,,,
PEL 525 Curved Glassdoor Dispenser-By Electronics World,NO,,,,,,
PEL Table-Top Classic 115 Water Dispenser-By Electronics World,NO,,,,,,
ORIENT,,,,,,,
Orient Icon 2 Taps Water Dispenser-By Electronics World,Orient Icon 2," 31,500 "," 35,500 "," 39,444 "," 39,500 ",,
Orient Icon 3 Taps Water Dispenser-By Electronics World,Orient Icon 3," 32,500 "," 36,500 "," 40,556 "," 40,500 ",,
Orient Icon 3 Taps Water Dispenser-By Electronics World,Orient Icon 3," 32,500 "," 36,500 "," 40,556 "," 40,500 ",,
Orient Icon 3 Taps Water Dispenser-By Electronics World,Orient Icon 3," 32,500 "," 36,500 "," 40,556 "," 40,500 ",,
Orient Crystal 3  Water Dispenser-By Electronics World,Crystal/Marvel/Flare 3," 37,500 "," 41,500 "," 46,111 "," 46,000 ",,
HOMAGE,,,,,,,
Homage HWD-49320-By Electronics World,HWD-49320," 20,600 "," 24,600 "," 27,333 "," 27,500 ",,
Homage HWD-49432 G-By Electronics World,HWD-49432 G," 31,500 "," 35,500 "," 39,444 "," 39,500 ",,
Homage HWD-49331-By Electronics World,HWD-49331," 28,000 "," 32,000 "," 35,556 "," 35,500 ",,
Homage HWD-49332 P-By Electronics World,HWD-49332 P," 29,000 "," 33,000 "," 36,667 "," 36,500 ",,
SUPERASIA,,,,,,,
SuperAsia HC 51B Water Dispenser 3Tap-By Electronics World,HC 51 B," 33,000 "," 37,000 "," 41,111 "," 41,000 ",,
SuperAsia HC 52R Water Dispenser 3Tap -By Electronics World,HC 52 R," 33,000 "," 37,000 "," 41,111 "," 41,000 ",,
SuperAsia HC 53 G Water Dispenser 3Tap-By Electronics World,HC 53 G ," 33,000 "," 37,000 "," 41,111 "," 41,000 ",,
SuperAsia Water Dispenser 3Tap HC 54 G-By Electronics World,HC 54 G," 33,000 "," 37,000 "," 41,111 "," 41,000 ",,
SuperAsia HC 55 Water Dispenser 3Tap-By Electronics World,HC 55 W," 33,000 "," 37,000 "," 41,111 "," 41,000 ",,
SuperAsia Water Dispenser 3Tap HC 56-By Electronics World,HC 56 B ," 33,000 "," 37,000 "," 41,111 "," 41,000 ",,
SuperAsia Water Dispenser 3Tap HC 57-By Electronics World,HC 57 W," 33,000 "," 37,000 "," 41,111 "," 41,000 ",,
