Brand,sku,name,Short Description,description,Variant Compare At Price,Variant Price,Warranty,images,Color,Microwave Type
Dawlance,DW MD-4  White,Dawlance Microwave Oven 20Ltr (MD-15) White,Dawlance Microwave Oven 20Ltr (MD-15),"The Dawlance DW-MD4 is a 20-liter solo microwave oven that delivers 700 watts of power, making it a reliable choice for efficient heating, defrosting, and basic cooking. It features a simple, user-friendly design operated by mechanical rotary controls, including a 30-minute manual timer. Built for convenience, this compact, free-standing unit measures approximately 45.2 cm in width, 33 cm in depth, and 26.2 cm in height, weighing roughly 10.2 kilograms.",21200,22200,1 Year Warranty,https://eu-central.storage.cloudconvert.com/tasks/209b78c1-3504-42aa-9dde-3c3c3814142e/md-4%20white.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cloudconvert-production%2F20260715%2Ffra%2Fs3%2Faws4_request&X-Amz-Date=20260715T213610Z&X-Amz-Expires=86400&X-Amz-Signature=4b4b28cde155ab879da455eae02d8fdf04353410fe07eb852ddca78e87e7af20&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22md-4%20white.jpg%22&response-content-type=image%2Fjpeg&x-id=GetObject,White,Heating Plus Cooking
Dawlance,DW MD-4  black,Dawlance Microwave Oven 20Ltr (MD-15) Black,Dawlance Microwave Oven 20Ltr (MD-15),"The Dawlance DW-MD4 is a 20-liter solo microwave oven that delivers 700 watts of power, making it a reliable choice for efficient heating, defrosting, and basic cooking. It features a simple, user-friendly design operated by mechanical rotary controls, including a 30-minute manual timer. Built for convenience, this compact, free-standing unit measures approximately 45.2 cm in width, 33 cm in depth, and 26.2 cm in height, weighing roughly 10.2 kilograms.",21800,22800,1 Year Warranty,https://eu-central.storage.cloudconvert.com/tasks/8eb7cc0d-b7e7-4146-8d08-3b49c4275b7c/MD-4-Black-Dawlance-MicroWave-Oven-Solo-600x600.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cloudconvert-production%2F20260715%2Ffra%2Fs3%2Faws4_request&X-Amz-Date=20260715T213841Z&X-Amz-Expires=86400&X-Amz-Signature=03b56e975d1bc607c02d7c45fdfb22c30b77c0a5f38a598139e3a3846feaa066&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22MD-4-Black-Dawlance-MicroWave-Oven-Solo-600x600.jpg%22&response-content-type=image%2Fjpeg&x-id=GetObject,Black,Heating Plus Cooking
Dawlance,DW MD-7 ,Dawlance Microwave Oven 20Ltr (MD-7),Dawlance Microwave Oven 20Ltr (MD-7),"The Dawlance DW-MD7 is a Solo microwave oven, which means its functionality is strictly limited to reheating, defrosting, and basic cooking. It is not an all-in-one appliance, nor does it have oven-toaster, grilling, or baking capabilities, as it lacks the necessary heating elements for those functions.",21300,22300,1 Year Warranty,https://eu-central.storage.cloudconvert.com/tasks/0511bde6-b5c1-47a0-a33f-230419108adc/Md7.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cloudconvert-production%2F20260715%2Ffra%2Fs3%2Faws4_request&X-Amz-Date=20260715T214002Z&X-Amz-Expires=86400&X-Amz-Signature=e91243fdcf9d0d20eaeff47efeaad79141760be5ae401fa1b1b0a8fa836eb441&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22Md7.jpg%22&response-content-type=image%2Fjpeg&x-id=GetObject,Black,Heating Plus Cooking
Dawlance,DW MD-10,Dawlance Microwave Oven 20Ltr (MD-10),Dawlance Microwave Oven 20Ltr (MD-10),"The Dawlance DW-MD10 is a Solo microwave oven, which means it is designed exclusively for heating, defrosting, and basic cooking. It is not an all-in-one appliance, nor does it feature grill, baking, or oven-toaster capabilities, as it lacks the necessary heating elements and specialized modes for those functions",21300,22300,1 Year Warranty,https://eu-central.storage.cloudconvert.com/tasks/d33d5107-8c0e-45ee-9a89-03e0d4bff437/DawlanceDWMD10HeatingMicrowaveOven.webp.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cloudconvert-production%2F20260715%2Ffra%2Fs3%2Faws4_request&X-Amz-Date=20260715T214126Z&X-Amz-Expires=86400&X-Amz-Signature=23e2952af9ad915eee88c4024d4bf7b4852232c22bf8509f9544c36a68130f03&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22DawlanceDWMD10HeatingMicrowaveOven.webp.jpg%22&response-content-type=image%2Fjpeg&x-id=GetObject,Black,Heating Plus Cooking
Dawlance,DW MD-15,Dawlance Microwave Oven 20Ltr (MD-15),Dawlance Microwave Oven 20Ltr (MD-15),"The Dawlance DW-MD15 is classified as a Solo microwave oven. This means it is designed exclusively for heating, defrosting, and basic cooking. It is not an all-in-one appliance, nor does it feature grill, baking, or convection (oven-toaster) heating elements.",20200,21200,1 Year Warranty,https://eu-central.storage.cloudconvert.com/tasks/d505a0f5-5695-40b5-a66f-8b83c4b00c6b/Untitled-design-2-600x600.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cloudconvert-production%2F20260715%2Ffra%2Fs3%2Faws4_request&X-Amz-Date=20260715T214250Z&X-Amz-Expires=86400&X-Amz-Signature=585947d3ba1a3f487dc57b2fc67fbe910dd74d030ed73844ad2a90c8105c27c0&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22Untitled-design-2-600x600.jpg%22&response-content-type=image%2Fjpeg&x-id=GetObject,White,Heating Plus Cooking
Dawlance,DW DW-115,Dawlance Combination Microwave Oven 25Ltr (DW-115),Dawlance Combination Microwave Oven 25Ltr DW-115,"he Dawlance DW-115 CHZP is a combination (all-in-one) microwave oven. Unlike ""Solo"" models that are limited to heating and defrosting, this unit includes convection technology. This means it combines standard microwave heating with an extra heating element and a fan, allowing it to perform baking, roasting, and crisping in addition to general reheating and cooking. It is essentially a versatile all-in-one appliance suitable for tasks like baking cakes, roasting chicken, and preparing various oven-baked dishes.",44600,45600,1 Year Warranty,https://eu-central.storage.cloudconvert.com/tasks/aca18bed-7dbc-4b32-840d-ce3f0765f117/dw-115-min.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cloudconvert-production%2F20260715%2Ffra%2Fs3%2Faws4_request&X-Amz-Date=20260715T214404Z&X-Amz-Expires=86400&X-Amz-Signature=755636734348bd3818d456a56e0fda1d84fda9a604f543dcd1ace2a22f8d356b&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22dw-115-min.jpg%22&response-content-type=image%2Fjpeg&x-id=GetObject,Black,All in one
Dawlance,DW DW-128,Dawlance Cook King Series Microwave Oven 26 Ltr Black (DW-128-G),Dawlance Cook King Series Microwave Oven 26 Ltr Black (DW-128-G),"The Dawlance DW-128 G is a grilling microwave oven. It is not an ""all-in-one"" convection oven (which would allow for true baking like a traditional oven), nor is it a basic ""solo"" microwave. Instead, it bridges the gap by offering Microwave + Grill functionality. This allows you to perform standard heating and defrosting, while the grill element enables you to brown and crisp the surface of foods like meat, vegetables, or cheese.",37000,38000,1 Year Warranty,https://eu-central.storage.cloudconvert.com/tasks/acb25c8e-f917-4a86-9ce2-c001f2e0506c/DW128G.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cloudconvert-production%2F20260715%2Ffra%2Fs3%2Faws4_request&X-Amz-Date=20260715T214510Z&X-Amz-Expires=86400&X-Amz-Signature=a4a64b1a9fdfe32b53ffdcbf04aa3ae3d07023c902186d00d33a0f0b185753a5&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22DW128G.jpg%22&response-content-type=image%2Fjpeg&x-id=GetObject,Black,Heating Plus Cooking
Dawlance,DW DW-131HP,Dawlance Cooking Series Microwave Oven 30 Ltr (DW-131-HP-SYNC),Dawlance Cooking Series Microwave Oven 30 Ltr (DW-131-HP-SYNC),"The Dawlance DW-131-HP is a grilling microwave oven, which means it provides both standard microwave heating and a dedicated grill function. It is not an ""all-in-one"" convection oven (which allows for baking) nor a basic ""solo"" microwave. Instead, it is designed for those who want to reheat and cook their food while also having the ability to brown, crisp, or grill items like meat, sandwiches, and vegetables",39500,42000,1 Year Warranty,https://eu-central.storage.cloudconvert.com/tasks/f2625ae5-637a-4707-99c3-5f67dc86a934/DW-131-HP.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cloudconvert-production%2F20260715%2Ffra%2Fs3%2Faws4_request&X-Amz-Date=20260715T214632Z&X-Amz-Expires=86400&X-Amz-Signature=79eddbe56cc2d8e5acf6450c7904f9f0d47796ef63fd114e0c2da9045e2be656&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22DW-131-HP.jpg%22&response-content-type=image%2Fjpeg&x-id=GetObject,Black,Heating Plus Cooking
Dawlance,DW DW-132,Dawlance Cooking Series Microwave Oven 30 Ltr (DW-132-S),Dawlance Cooking Series Microwave Oven 30 Ltr (DW-132-S),"The Dawlance DW-132 S is a Solo microwave oven, which means it is designed strictly for heating, defrosting, and basic cooking. It is not an all-in-one or convection appliance, nor does it include a grill or oven-toaster heating element; therefore, it cannot be used for baking, browning, or crisping",34300,36000,1 Year Warranty,https://eu-central.storage.cloudconvert.com/tasks/b03e9518-5f89-4188-a622-6da2ba053af6/DW132S.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cloudconvert-production%2F20260715%2Ffra%2Fs3%2Faws4_request&X-Amz-Date=20260715T214711Z&X-Amz-Expires=86400&X-Amz-Signature=237cae4133f030ff0694025feaec1e4f13474fd457544762bd44c7a6cae189c3&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22DW132S.jpg%22&response-content-type=image%2Fjpeg&x-id=GetObject,Black,Heating Plus Cooking
Dawlance,DW DW-133,Dawlance Cooking Series Microwave Oven 30 Ltr (DW-133-G),Dawlance Cooking Series Microwave Oven 30 Ltr (DW-133-G),"The Dawlance DW-133 G/RG is classified as a Grilling Microwave Oven. It is not a convection ""all-in-one"" appliance (which would include a fan for baking/roasting), nor is it a basic ""solo"" microwave. Instead, it combines standard microwave heating with a dedicated grill element, allowing you to reheat and cook food while also browning or crisping the surface of dishes like meats, vegetables, and snacks.",39200,40000,1 Year Warranty,https://eu-central.storage.cloudconvert.com/tasks/2c1d66c1-5fe8-425e-bad9-45c8f9d60d93/133rg.jpg?X-Amz-Algorithm=AWS4-HMAC-SHA256&X-Amz-Content-Sha256=UNSIGNED-PAYLOAD&X-Amz-Credential=cloudconvert-production%2F20260715%2Ffra%2Fs3%2Faws4_request&X-Amz-Date=20260715T214752Z&X-Amz-Expires=86400&X-Amz-Signature=44f0cd882e9c2655543e969aeff1a50748133cc4a12e6e63f4658915a5a66184&X-Amz-SignedHeaders=host&response-content-disposition=inline%3B%20filename%3D%22133rg.jpg%22&response-content-type=image%2Fjpeg&x-id=GetObject,Black,Heating Plus Cooking
