S_No,Brand,Category,Model_Name,SKU,Rate,Image_URL,Image_Status,Match_Notes
"1","Dawlance","Washing Machine","DW-260 LVS Golden",""," 67,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.dawlance.com.pk"
"2","Dawlance","Washing Machine","DW-6100-W",""," 20,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.dawlance.com.pk"
"3","Dawlance","Washing Machine","DW-6550-W",""," 34,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.dawlance.com.pk"
"4","Dawlance","Washing Machine","DW-7500 G",""," 40,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.dawlance.com.pk"
"5","Dawlance","Washing Machine","DW-9100 G",""," 29,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.dawlance.com.pk"
"6","Dawlance","Washing Machine","DW-9200 CFL",""," 27,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.dawlance.com.pk"
"7","Dawlance","Washing Machine","DW-9200 WFL",""," 26,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.dawlance.com.pk"
"8","Haier","Washing Machine","HW-105-B 14959 S8","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"9","Haier","Washing Machine","HWM 120AS M/W",""," 43,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"10","Haier","Washing Machine","Haier 10.5Kg Washer/Dryer Front Load Washing Machine Wifi HWD 105-B14959-S8U1/On Installment","Haier 10.5Kg HWD 105-B14959-S8U1-BE-On Installment"," 248,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"11","Haier","Washing Machine","Haier 8kg Front Load Washing Machine HWM 80-BP12929-S3/On Installment","Haier 8kg HWM 80-BP12929-S3-BE-On Installment"," 163,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"12","Haier","Washing Machine","Haier 9KG Inverter Front Load Washing Machine HW90-BP14959-S8/On Installment","Haier 9KG Inverter HW90-BP14959-S8-BE-On Installment"," 178,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"13","Haier","Washing Machine","Haier Front Load Wasing Machine  HWM 100-BP14929-S3/On Installment","Haier HWM 100-BP14929-S3-BE-On Installment-4"," 192,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"14","Haier","Washing Machine","HW-80 BP12929 S6",""," 125,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"15","Haier","Washing Machine","HW-90 BP 14959 S6","","","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"16","Haier","Washing Machine","HWM 100 CS",""," 29,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"17","Haier","Washing Machine","HWM 150-1978",""," 141,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"18","Haier","Washing Machine","HWM 150-B1678 ES8",""," 91,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"19","Haier","Washing Machine","HWM 60-50",""," 17,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"20","Haier","Washing Machine","HWM 80-1217",""," 18,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"21","Haier","Washing Machine","HWM 90-1789",""," 63,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"22","Haier","Washing Machine","HWM 90-826",""," 53,000 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"23","Haier","Washing Machine","HWM 95-1678 ES8/JT",""," 64,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"24","Haier","Washing Machine","HWM-120 AS MG",""," 41,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
"25","Haier","Washing Machine","HWM-120-826 E",""," 60,500 ","","STILL_UNVERIFIED","Model truly not found on official site https://www.haier.com/pk"
