S_No,Brand,Category,Model_Name,SKU,Rate,Image_URL,Image_Status,Match_Notes
"1","Dawlance","Washing Machine","DW-260 LVS Golden",""," 67,000 ","https://www.dawlance.com.pk/media/catalog/product/d/w/dw-260-lvs.png","UNVERIFIED","Matched core DW-260 LVS model, suffix Golden needs manual review"
"2","Dawlance","Washing Machine","DW-6100-W",""," 20,500 ","https://www.dawlance.com.pk/media/catalog/product/d/w/dw-6100.png","UNVERIFIED","Matched core DW-6100 model, suffix -W needs manual review"
"3","Dawlance","Washing Machine","DW-6550-W",""," 34,000 ","https://www.dawlance.com.pk/media/catalog/product/d/w/dw-6550.png","UNVERIFIED","Matched core DW-6550 model, suffix -W needs manual review"
"4","Dawlance","Washing Machine","DW-7500 G",""," 40,000 ","https://www.dawlance.com.pk/media/catalog/product/d/w/dw-7500c.png","UNVERIFIED","Matched core DW-7500 series, color G vs C needs manual review"
"5","Dawlance","Washing Machine","DW-9100 G",""," 29,000 ","https://www.dawlance.com.pk/media/catalog/product/d/w/dw-9100.png","UNVERIFIED","Matched core DW-9100 model, suffix G needs manual review"
"6","Dawlance","Washing Machine","DW-9200 CFL",""," 27,000 ","https://www.dawlance.com.pk/media/catalog/product/d/w/dw-9200.png","UNVERIFIED","Matched core DW-9200 model, suffix CFL needs manual review"
"7","Dawlance","Washing Machine","DW-9200 WFL",""," 26,500 ","https://www.dawlance.com.pk/media/catalog/product/d/w/dw-9200.png","UNVERIFIED","Matched core DW-9200 model, suffix WFL needs manual review"
"8","Haier","Washing Machine","HW-105-B 14959 S8","","","https://www.haier.com/pk/media/catalog/product/h/w/hw105-b14959s8.png","UNVERIFIED","Matched core HW105-B14959 series, suffix S8 needs manual review"
"9","Haier","Washing Machine","HWM 120AS M/W",""," 43,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-120as-grey.png","UNVERIFIED","Matched core HWM 120AS series, color M/W vs GREY needs manual review"
"10","Haier","Washing Machine","Haier 10.5Kg Washer/Dryer Front Load Washing Machine Wifi HWD 105-B14959-S8U1/On Installment","Haier 10.5Kg HWD 105-B14959-S8U1-BE-On Installment"," 248,500 ","https://www.haier.com/pk/media/catalog/product/h/w/hwd-105-b14959-s8u1.png","UNVERIFIED","Matched core HWD 105-B14959 series, suffix S8U1 needs manual review"
"11","Haier","Washing Machine","Haier 8kg Front Load Washing Machine HWM 80-BP12929-S3/On Installment","Haier 8kg HWM 80-BP12929-S3-BE-On Installment"," 163,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-80-bp12929-s3.png","UNVERIFIED","Matched core HWM 80-BP12929 series, suffix S3 needs manual review"
"12","Haier","Washing Machine","Haier 9KG Inverter Front Load Washing Machine HW90-BP14959-S8/On Installment","Haier 9KG Inverter HW90-BP14959-S8-BE-On Installment"," 178,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hw90-bp14959-s8.png","UNVERIFIED","Matched core HW90-BP14959 series, suffix S8 needs manual review"
"13","Haier","Washing Machine","Haier Front Load Wasing Machine  HWM 100-BP14929-S3/On Installment","Haier HWM 100-BP14929-S3-BE-On Installment-4"," 192,500 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-100-bp14929-s3.png","UNVERIFIED","Matched core HWM 100-BP14929 series, suffix S3 needs manual review"
"14","Haier","Washing Machine","HW-80 BP12929 S6",""," 125,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hw-80-bp12929-s6.png","UNVERIFIED","Matched core HW 80-BP12929 series, suffix S6 needs manual review"
"15","Haier","Washing Machine","HW-90 BP 14959 S6","","","https://www.haier.com/pk/media/catalog/product/h/w/hw-90-bp14959-s6.png","UNVERIFIED","Matched core HW 90-BP14959 series, suffix S6 needs manual review"
"16","Haier","Washing Machine","HWM 100 CS",""," 29,500 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-100as.png","UNVERIFIED","Matched core HWM 100 series, suffix CS vs AS needs manual review"
"17","Haier","Washing Machine","HWM 150-1978",""," 141,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-150-1978.png","UNVERIFIED","Matched core HWM 150 series, suffix 1978 needs manual review"
"18","Haier","Washing Machine","HWM 150-B1678 ES8",""," 91,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-150-b1678es8.png","UNVERIFIED","Matched core HWM 150-B1678 series, suffix ES8 needs manual review"
"19","Haier","Washing Machine","HWM 60-50",""," 17,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-60-50.png","UNVERIFIED","Matched core HWM 60 series, suffix 50 needs manual review"
"20","Haier","Washing Machine","HWM 80-1217",""," 18,500 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-80-1217.png","UNVERIFIED","Matched core HWM 80 series, suffix 1217 needs manual review"
"21","Haier","Washing Machine","HWM 90-1789",""," 63,000 ","https://www.haier.com/pk/media/catalog/product/h/w/hwm-90-1789.png","UNVERIFIED","Matched core HWM 90 series, suffix 1789 needs manual review"
