S_No,Brand,Category,Model_Name,SKU,Rate,Image_Status,Source_File
1,"AC","AC","10 LF",""," 92,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
2,"AC","AC","12 CF",""," 88,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
3,"AC","AC","12 FITH 3W",""," 157,500 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
4,"AC","AC","12 FITH 6C/S",""," 146,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
5,"AC","AC","12 PITH 11S",""," 123,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
6,"AC","AC","12 PITH 11W",""," 120,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
7,"AC","AC","12 T3 PRO",""," 119,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
8,"AC","AC","12G Frost Everest",""," 99,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
9,"AC","AC","12e Cool",""," 91,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
10,"AC","AC","13 LF",""," 97,500 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
11,"AC","AC","14 HFT W",""," 118,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
12,"AC","AC","15 Enercon",""," -   ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
13,"AC","AC","15 Inspire",""," 102,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
14,"AC","AC","15 Mega Flex",""," 114,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
15,"AC","AC","15 Mega T+",""," 116,500 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
16,"AC","AC","15 Powercon",""," 101,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
17,"AC","AC","15 Sprinter",""," 101,000 ","UNMATCHED","ALL_AC_ON_ALFA_MALL_UPLOADED_MARCH_2025.csv"
