S_No,Brand,Category,Model_Name,SKU,Rate,Image_Status,Match_Notes
"1","Dawlance","Washing Machine","DW-7200 CFL",""," 20,500 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"2","Dawlance","Washing Machine","DW-7200 WFL",""," 20,500 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"3","Dawlance","Washing Machine","DWT-270 C LVS+",""," 77,000 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"4","Dawlance","Washing Machine","DW-14470 ES","","","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"5","Dawlance","Washing Machine","DW-6550 G",""," 39,000 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"6","Dawlance","Washing Machine","DW-7200",""," 21,000 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"7","Dawlance","Washing Machine","DW-6000",""," 16,500 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"8","Dawlance","Washing Machine","DW-7200 CFL",""," 20,500 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"9","Dawlance","Washing Machine","DW-7200 WFL",""," 20,500 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"10","Dawlance","Washing Machine","DW-9000",""," 23,500 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"11","Dawlance","Washing Machine","DWT-270 C LVS+",""," 77,000 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
"12","Dawlance","Microwave","DW-210 Solo",""," 15,700 ","TRULY_NOT_FOUND","Category browse + sitemap + site-search completed, model not found - possibly discontinued"
