S_No,Brand,Category,Model_Name,SKU,Rate,Match_Notes
"1","Dawlance","Washing Machine","DW-7200 CFL",""," 20,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"2","Dawlance","Washing Machine","DW-7200 WFL",""," 20,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"3","Dawlance","Washing Machine","DWT-270 C LVS+",""," 77,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"4","Dawlance","Washing Machine","DW-14470 ES","","","Model truly not found on official brand website - Confirmed Discontinued"
"5","Dawlance","Washing Machine","DW-6550 G",""," 39,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"6","Dawlance","Washing Machine","DW-7200",""," 21,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"7","Dawlance","Washing Machine","DW-6000",""," 16,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"8","Dawlance","Washing Machine","DW-7200 CFL",""," 20,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"9","Dawlance","Washing Machine","DW-7200 WFL",""," 20,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"10","Dawlance","Washing Machine","DW-9000",""," 23,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"11","Dawlance","Washing Machine","DWT-270 C LVS+",""," 77,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"12","Dawlance","Microwave","DW-210 Solo",""," 15,700 ","Model truly not found on official brand website - Confirmed Discontinued"
"13","Haier","Washing Machine","HWM 120-1678",""," 102,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"14","Haier","Washing Machine","HWM 85-826",""," 53,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"15","Haier","Washing Machine","HWM-130-1217",""," 24,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"16","Haier","Washing Machine","HWM-150-1789",""," 93,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"17","Haier","Washing Machine","PEL Microwave Oven PMO-20 BH Classic Plus/On Installment","PEL PMO-20BH Classic Plus-BE-On Installment"," 23,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"18","Haier","Washing Machine","PEL PMO 30BG Glamour Microwave Oven 30 Ltr/On Istallments","PEL PMO-30BG Glamour 30Ltr-BE-On Istallments-4"," 38,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"19","Haier","Washing Machine","PEL PMO 38BG Glamour Microwave Oven 38 Ltr/On Installments","PEL PMO 38BG Glamour 38 Ltr-BE-On Installments-4"," 44,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"20","Haier","Washing Machine","PEL PMO-23 Desire Microwave Oven/On Installments","PEL PMO-23 Desire-BE-On Installments-4"," 32,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"21","Haier","Washing Machine","PEL PMO-23 SLM 23 Ltr Desire Microwave Oven/On Installments","PEL PMO-23SLM 23Ltr Desire MWO-BE-On Installments"," 28,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"22","Haier","Washing Machine","PEL PMO-25 Convection Microwave Oven/On Installments","PEL PMO-25 Convection-BE-On Installments"," 43,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"23","Haier","Washing Machine","PEL PMO-26 Chef Digital Microwave Oven/On Installments","PEL PMO-26 Chef Digital-BE-On Installments"," 37,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"24","Haier","Washing Machine","PEL PMO-26 Desire Microwave Oven/On Installments","PEL PMO-26 Desire -BE-On Installments"," 35,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"25","Haier","Washing Machine","Pel PMO-30 Desire Microwave Oven 30 Litres/On Installments","Pel PMO-30 Desire -BE-On Installments"," 40,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"26","Haier","Washing Machine","Philips Espresso EP2220 Fully automatic espresso machines/On Installments","Philips Espresso EP2220-BE-On Installments-4"," 160,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"27","Haier","Washing Machine","TCL Elite TAC-24HEA 2 Ton-BE-On Installments","TCL Elite TAC-24HEA 2 Ton-BE-On Installments"," 198,400 ","Model truly not found on official brand website - Confirmed Discontinued"
"28","Haier","Washing Machine","HWM 100 AS","","","Model truly not found on official brand website - Confirmed Discontinued"
"29","Haier","Washing Machine","HWM 100 BS","","","Model truly not found on official brand website - Confirmed Discontinued"
"30","Haier","Washing Machine","HWM 100-1678 E","","","Model truly not found on official brand website - Confirmed Discontinued"
"31","Haier","Washing Machine","HWM 120-1678 ES9",""," 74,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"32","Haier","Washing Machine","HWM 80 AS","","","Model truly not found on official brand website - Confirmed Discontinued"
"33","Haier","Washing Machine","HWM-120 1978",""," 123,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"34","Haier","Washing Machine","HWM-120-35",""," 24,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"35","Haier","Washing Machine","HWM-130-1217 GB",""," 25,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"36","Haier","Washing Machine","HWM-49101Spinner",""," 17,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"37","Haier","Washing Machine","HWM-4991",""," 17,700 ","Model truly not found on official brand website - Confirmed Discontinued"
"38","Haier","Washing Machine","HWM-80-1269 X","","","Model truly not found on official brand website - Confirmed Discontinued"
"39","Haier","Washing Machine","HW-105-B 14959 S8","","","Model truly not found on official brand website - Confirmed Discontinued"
"40","Haier","Washing Machine","HWM 120AS M/W",""," 43,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"41","Haier","Washing Machine","PEL Microwave Oven PMO-20 BH Classic Plus/On Installment","PEL PMO-20BH Classic Plus-BE-On Installment"," 23,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"42","Haier","Washing Machine","PEL PMO 30BG Glamour Microwave Oven 30 Ltr/On Istallments","PEL PMO-30BG Glamour 30Ltr-BE-On Istallments-4"," 38,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"43","Haier","Washing Machine","PEL PMO 38BG Glamour Microwave Oven 38 Ltr/On Installments","PEL PMO 38BG Glamour 38 Ltr-BE-On Installments-4"," 44,000 ","Model truly not found on official brand website - Confirmed Discontinued"
"44","Haier","Washing Machine","PEL PMO-23 Desire Microwave Oven/On Installments","PEL PMO-23 Desire-BE-On Installments-4"," 32,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"45","Haier","Washing Machine","PEL PMO-23 SLM 23 Ltr Desire Microwave Oven/On Installments","PEL PMO-23SLM 23Ltr Desire MWO-BE-On Installments"," 28,500 ","Model truly not found on official brand website - Confirmed Discontinued"
"46","Haier","Washing Machine","PEL PMO-25 Convection Microwave Oven/On Installments","PEL PMO-25 Convection-BE-On Installments"," 43,000 ","Model truly not found on official brand website - Confirmed Discontinued"
