S_No,Brand,Category,Model_Name,SKU,Rate,Match_Notes
"1","Dawlance","Washing Machine","DW-7200 CFL",""," 20,500 ","Duplicate image URL skipped"
"2","Dawlance","Washing Machine","DW-7200 WFL",""," 20,500 ","Duplicate image URL skipped"
"3","Dawlance","Washing Machine","DWT-270 C LVS+",""," 77,000 ","Model truly not found on official site - possibly discontinued"
"4","Dawlance","Washing Machine","DW-14470 ES","","","Duplicate image URL skipped"
"5","Dawlance","Washing Machine","DW-6550 G",""," 39,000 ","Duplicate image URL skipped"
"6","Dawlance","Washing Machine","DW-7200",""," 21,000 ","Duplicate image URL skipped"
"7","Dawlance","Washing Machine","DW-6000",""," 16,500 ","Duplicate image URL skipped"
"8","Dawlance","Washing Machine","DW-7200 CFL",""," 20,500 ","Duplicate image URL skipped"
"9","Dawlance","Washing Machine","DW-7200 WFL",""," 20,500 ","Duplicate image URL skipped"
"10","Dawlance","Washing Machine","DW-9000",""," 23,500 ","Duplicate image URL skipped"
"11","Dawlance","Washing Machine","DWT-270 C LVS+",""," 77,000 ","Model truly not found on official site - possibly discontinued"
"12","Dawlance","Microwave","DW-210 Solo",""," 15,700 ","Duplicate image URL skipped"
"13","Haier","Washing Machine","HWM 120-1678",""," 102,000 ","Duplicate image URL skipped"
"14","Haier","Washing Machine","HWM 85-826",""," 53,000 ","Duplicate image URL skipped"
"15","Haier","Washing Machine","HWM-130-1217",""," 24,000 ","Duplicate image URL skipped"
"16","Haier","Washing Machine","HWM-150-1789",""," 93,000 ","Duplicate image URL skipped"
"17","Haier","Washing Machine","PEL Microwave Oven PMO-20 BH Classic Plus/On Installment","PEL PMO-20BH Classic Plus-BE-On Installment"," 23,500 ","Model truly not found on official site - possibly discontinued"
"18","Haier","Washing Machine","PEL PMO 30BG Glamour Microwave Oven 30 Ltr/On Istallments","PEL PMO-30BG Glamour 30Ltr-BE-On Istallments-4"," 38,500 ","Model truly not found on official site - possibly discontinued"
"19","Haier","Washing Machine","PEL PMO 38BG Glamour Microwave Oven 38 Ltr/On Installments","PEL PMO 38BG Glamour 38 Ltr-BE-On Installments-4"," 44,000 ","Model truly not found on official site - possibly discontinued"
"20","Haier","Washing Machine","PEL PMO-23 Desire Microwave Oven/On Installments","PEL PMO-23 Desire-BE-On Installments-4"," 32,500 ","Model truly not found on official site - possibly discontinued"
"21","Haier","Washing Machine","PEL PMO-23 SLM 23 Ltr Desire Microwave Oven/On Installments","PEL PMO-23SLM 23Ltr Desire MWO-BE-On Installments"," 28,500 ","Model truly not found on official site - possibly discontinued"
"22","Haier","Washing Machine","PEL PMO-25 Convection Microwave Oven/On Installments","PEL PMO-25 Convection-BE-On Installments"," 43,000 ","Model truly not found on official site - possibly discontinued"
"23","Haier","Washing Machine","PEL PMO-26 Chef Digital Microwave Oven/On Installments","PEL PMO-26 Chef Digital-BE-On Installments"," 37,000 ","Model truly not found on official site - possibly discontinued"
