S_No,Product_Model,Category,Source_Page_URL,Image_Status,Match_Notes
"1","HR-66 B","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"2","HR-136 B","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"3","HRF-186 EBS/EBD","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"4","HRF-418 IPRA/IPGA/IPPA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"5","HRF-458 IPRA/IPGA/IPPA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"6","HRF-418 IDGA/IDRGA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"7","HRF-458 IDGA/IDRGA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"8","HRF-418 IAPA+/IARA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"9","HRF-458 IAPA+/IARA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"10","HRF-418 IFGA/IFRA/IFPA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"11","HRF-458 IFGA/IFRA/IFPA","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"12","HRF-418 TIFG1U1/TIFB1U1 (IOT)","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"13","HRF-458 TIFG1U1/TIFB1U1 (IOT)","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"14","HRF-488 IFFB","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"15","HRF-518 IFFB","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"16","HRF-518 WIFFBGU1","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"17","HRF-622 IBS","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"18","HRF-622 ICG","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","Search query failed: socket hang up"
"19","HRF-622 IBG","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"20","HRF-578 TSG","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"21","HRF-578 TBG","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"22","HRF-578 TBGU1 (IOT)","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","Search query failed: socket hang up"
"23","HRF-578 TGGU1 (IOT)","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"24","HRF-678 TGG","Refrigerators","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core model digits"
"25","HSU-10LFCM/013USDC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"26","HSU-14HFTEX/013/023WUSDC(OW)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"27","HSU-14HFTEX/013/023WUSDC(DG)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"28","HSU-13HFAB/013/23WUSDC(W)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"29","HSU-13HFAB/013/23WUSDC(Grey)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"30","HSU-13HFS/013/23WDC(G)/(S)-Super T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"31","HSU-13HFS/013/23WDC(W)-Super T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"32","HSU-13HFN/013WDC(W)-T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"33","HSU-13HFPA/013WUSDC(G-S-B","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"34","HSU-13HFCS/CA/CP013/33/23USDC(W)-SG","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"35","HSU-13RFP/023DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"36","HSU-13LFCM/013/23DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"37","HSU-13LF-SUPREME/023DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"38","HSU-13LF-PRIME/023DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"39","HSU-12CFCP/023L(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"40","HSU-20HJ/013/23WUSDC(G)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"41","HSU-20HJUV/013/23WUSDC(G)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"42","HSU-20HFTEX/013/23/33WUSDC(OW)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"43","HSU-20HFTEX/013/23/33WUSDC(DG)-T3 Plus","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"44","HSU-19HFAB/013WUSDC(W)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"45","HSU-19HFAB/013/23WUSDC(Grey)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"46","HSU-19HFS/023WDC(S-G)-Super T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model digits/code"
"47","HSU-19HFS/023WDC(W)-Super T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"48","HSU-19HFN/013WDC(W)-T3","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"49","HSU-19HFPAA/013/23/43WUSDC(G","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"50","HSU-19HFCS/CA/CP/013/23WDC(W)-SG","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"51","HSU-19RFP/013/23DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"52","HSU-19LFCM/013/23USDC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"53","HSU-19LF-SUPREME/023DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"54","HSU-19LF-PRIME/023DC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"55","HSU-18CFCP/023L(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"56","HSU-24HFAB/013WUSDC(W)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"57","HSU-24HFAB/013WUSDC(Grey)-T3 Pro","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"58","HSU-24HFCD/013/23WDC(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"59","HSU-24CFCM/023L(W)","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"60","HBU-18HE/DC 1.5 254","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"61","HBU-24HE/DC-QB-T3 2 372","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
"62","Cool Only HBU-48CE/DC 4 508","Air Conditioners","N/A","UNMATCHED_VIA_GOOGLE","No verified source page matching core AC model code"
