S_No,Brand,Category,Model_Name,MRP_Price,Image_URL,Image_Status,Match_Notes
"1","Haier","Refrigerators","HR-66 B","","","NOT_FOUND","Core model number 66 not listed on qistbazaar.pk"
"2","Haier","Refrigerators","HR-136 B","","","NOT_FOUND","Core model number 136 not listed on qistbazaar.pk"
"3","Haier","Refrigerators","HRF-186 EBS/EBD","","","NOT_FOUND","Core model number 186 not listed on qistbazaar.pk"
"4","Haier","Refrigerators","HRF-216 EBS/EBD","","","NOT_FOUND","Core model number 216 not listed on qistbazaar.pk"
"5","Haier","Refrigerators","HRF 216 EPR/EPB","","","NOT_FOUND","Core model number 216 not listed on qistbazaar.pk"
"6","Haier","Refrigerators","HRF-246 EBS/EBD","","","NOT_FOUND","Core model number 246 not listed on qistbazaar.pk"
"7","Haier","Refrigerators","HRF 246 EPR/EPB","","","NOT_FOUND","Core model number 246 not listed on qistbazaar.pk"
"8","Haier","Refrigerators","HRF-276 EBS/EBD","","","NOT_FOUND","Core model number 276 not listed on qistbazaar.pk"
"9","Haier","Refrigerators","HRF 276 EPR/EPB","","","NOT_FOUND","Core model number 276 not listed on qistbazaar.pk"
"10","Haier","Refrigerators","HRF-368 EPR/EPB","","","NOT_FOUND","Core model number 368 not listed on qistbazaar.pk"
"11","Haier","Refrigerators","HRF-398 EPR/EPB","","","NOT_FOUND","Core model number 398 not listed on qistbazaar.pk"
"12","Haier","Refrigerators","HRF-438 EPR/EPB","","","NOT_FOUND","Core model number 438 not listed on qistbazaar.pk"
"13","Haier","Refrigerators","HRF-538 EPR/EPG","","","NOT_FOUND","Core model number 538 not listed on qistbazaar.pk"
"14","Haier","Refrigerators","HRF-246 IPRA/IPGA/IPPA","","","NOT_FOUND","Core model number 246 not listed on qistbazaar.pk"
"15","Haier","Refrigerators","HRF-276 IPRA/IPGA/IPPA","","","NOT_FOUND","Core model number 276 not listed on qistbazaar.pk"
"16","Haier","Refrigerators","HRF-418 IPRA/IPGA/IPPA","","","NOT_FOUND","Core model number 418 not listed on qistbazaar.pk"
"17","Haier","Refrigerators","HRF-458 IPRA/IPGA/IPPA","","","NOT_FOUND","Core model number 458 not listed on qistbazaar.pk"
"18","Haier","Refrigerators","HRF-538 IPRA/IPGA/IPPA","","","NOT_FOUND","Core model number 538 not listed on qistbazaar.pk"
"19","Haier","Refrigerators","HRF-418 IDGA/IDRGA","","","NOT_FOUND","Core model number 418 not listed on qistbazaar.pk"
"20","Haier","Refrigerators","HRF-458 IDGA/IDRGA","","","NOT_FOUND","Core model number 458 not listed on qistbazaar.pk"
"21","Haier","Refrigerators","HRF-538 IDGA/IDRGA","","","NOT_FOUND","Core model number 538 not listed on qistbazaar.pk"
"22","Haier","Refrigerators","HRF-368 IAPA+/IARA","","","NOT_FOUND","Core model number 368 not listed on qistbazaar.pk"
"23","Haier","Refrigerators","HRF-398 IAPA+/IARA","","","NOT_FOUND","Core model number 398 not listed on qistbazaar.pk"
"24","Haier","Refrigerators","HRF-418 IAPA+/IARA","","","NOT_FOUND","Core model number 418 not listed on qistbazaar.pk"
"25","Haier","Refrigerators","HRF-438 IAPA+/IARA","","","NOT_FOUND","Core model number 438 not listed on qistbazaar.pk"
"26","Haier","Refrigerators","HRF-458 IAPA+/IARA","","","NOT_FOUND","Core model number 458 not listed on qistbazaar.pk"
"27","Haier","Refrigerators","HRF-538 IAPA+/IARA","","","NOT_FOUND","Core model number 538 not listed on qistbazaar.pk"
"28","Haier","Refrigerators","HRF-368 IFGA/IFRA","","","NOT_FOUND","Core model number 368 not listed on qistbazaar.pk"
"29","Haier","Refrigerators","HRF-398 IFGA/IFRA","","","NOT_FOUND","Core model number 398 not listed on qistbazaar.pk"
"30","Haier","Refrigerators","HRF-418 IFGA/IFRA/IFPA","","","NOT_FOUND","Core model number 418 not listed on qistbazaar.pk"
"31","Haier","Refrigerators","HRF-438 IFGA/IFRA/IFPA","","","NOT_FOUND","Core model number 438 not listed on qistbazaar.pk"
"32","Haier","Refrigerators","HRF-458 IFGA/IFRA/IFPA","","","NOT_FOUND","Core model number 458 not listed on qistbazaar.pk"
"33","Haier","Refrigerators","HRF-538 IFGA/IFRA/IFPA","","","NOT_FOUND","Core model number 538 not listed on qistbazaar.pk"
"34","Haier","Refrigerators","HRF-418 TIFG1U1/TIFB1U1 (IOT)","","","NOT_FOUND","Core model number 418 not listed on qistbazaar.pk"
