S_No,Brand,Category,Model_Name,MRP_Price,Image_URL,Image_Status,Match_Notes
"1","Haier","Refrigerators","HR-66 B","33500","","NOT_FOUND","Core model 66 not listed on target portals"
"2","Haier","Refrigerators","HR-136 B","48900","","NOT_FOUND","Core model 136 not listed on target portals"
"3","Haier","Refrigerators","HRF-186 EBS/EBD","54000","","NOT_FOUND","Core model 186 not listed on target portals"
"4","Haier","Refrigerators","HRF-216 EBS/EBD","65000","","NOT_FOUND","Core model 216 not listed on target portals"
"5","Haier","Refrigerators","HRF 216 EPR/EPB","69000","","NOT_FOUND","Core model 216 not listed on target portals"
"6","Haier","Refrigerators","HRF-246 EBS/EBD","70000","","NOT_FOUND","Core model 246 not listed on target portals"
"7","Haier","Refrigerators","HRF 246 EPR/EPB","75000","","NOT_FOUND","Core model 246 not listed on target portals"
"8","Haier","Refrigerators","HRF-276 EBS/EBD","75000","","NOT_FOUND","Core model 276 not listed on target portals"
"9","Haier","Refrigerators","HRF 276 EPR/EPB","80000","","NOT_FOUND","Core model 276 not listed on target portals"
"10","Haier","Refrigerators","HRF-316 EPR/EPB","89000","","NOT_FOUND","Core model 316 not listed on target portals"
"11","Haier","Refrigerators","HRF-346 EPR/EPB","93000","","NOT_FOUND","Core model 346 not listed on target portals"
"12","Haier","Refrigerators","HRF-368 EPR/EPB","100000","","NOT_FOUND","Core model 368 not listed on target portals"
"13","Haier","Refrigerators","HRF-398 EPR/EPB","105000","","NOT_FOUND","Core model 398 not listed on target portals"
"14","Haier","Refrigerators","HRF-438 EPR/EPB","110400","","NOT_FOUND","Core model 438 not listed on target portals"
"15","Haier","Refrigerators","HRF-538 EPR/EPG","116400","","NOT_FOUND","Core model 538 not listed on target portals"
"16","Haier","Refrigerators","HRF-246 IPRA/IPGA/IPPA","79000","","NOT_FOUND","Core model 246 not listed on target portals"
"17","Haier","Refrigerators","HRF-276 IPRA/IPGA/IPPA","84000","","NOT_FOUND","Core model 276 not listed on target portals"
"18","Haier","Refrigerators","HRF-316 IPRA/IPGA/IPPA","93000","","NOT_FOUND","Core model 316 not listed on target portals"
"19","Haier","Refrigerators","HRF-346 IPRA/IPGA/IPPA","97000","","NOT_FOUND","Core model 346 not listed on target portals"
"20","Haier","Refrigerators","HRF-418 IPRA/IPGA/IPPA","108000","","NOT_FOUND","Core model 418 not listed on target portals"
"21","Haier","Refrigerators","HRF-458 IPRA/IPGA/IPPA","113400","","NOT_FOUND","Core model 458 not listed on target portals"
"22","Haier","Refrigerators","HRF-538 IPRA/IPGA/IPPA","123400","","NOT_FOUND","Core model 538 not listed on target portals"
"23","Haier","Refrigerators","HRF-316 IDGA/IDRGA","97000","","NOT_FOUND","Core model 316 not listed on target portals"
"24","Haier","Refrigerators","HRF-346 IDGA/IDRGA","101000","","NOT_FOUND","Core model 346 not listed on target portals"
"25","Haier","Refrigerators","HRF-418 IDGA/IDRGA","113000","","NOT_FOUND","Core model 418 not listed on target portals"
"26","Haier","Refrigerators","HRF-458 IDGA/IDRGA","118400","","NOT_FOUND","Core model 458 not listed on target portals"
"27","Haier","Refrigerators","HRF-538 IDGA/IDRGA","127400","","NOT_FOUND","Core model 538 not listed on target portals"
"28","Haier","Refrigerators","HRF-316 IAPA+/IARA","97000","","NOT_FOUND","Core model 316 not listed on target portals"
"29","Haier","Refrigerators","HRF-346 IAPA+/IARA","101000","","NOT_FOUND","Core model 346 not listed on target portals"
"30","Haier","Refrigerators","HRF-368 IAPA+/IARA","110000","","NOT_FOUND","Core model 368 not listed on target portals"
"31","Haier","Refrigerators","HRF-398 IAPA+/IARA","112000","","NOT_FOUND","Core model 398 not listed on target portals"
"32","Haier","Refrigerators","HRF-418 IAPA+/IARA","113000","","NOT_FOUND","Core model 418 not listed on target portals"
"33","Haier","Refrigerators","HRF-438 IAPA+/IARA","117400","","NOT_FOUND","Core model 438 not listed on target portals"
"34","Haier","Refrigerators","HRF-458 IAPA+/IARA","118400","","NOT_FOUND","Core model 458 not listed on target portals"
"35","Haier","Refrigerators","HRF-538 IAPA+/IARA","127400","","NOT_FOUND","Core model 538 not listed on target portals"
"36","Haier","Refrigerators","HRF-316 IFGA/IFRA","100000","","NOT_FOUND","Core model 316 not listed on target portals"
"37","Haier","Refrigerators","HRF-346 IFGA/IFRA","104000","","NOT_FOUND","Core model 346 not listed on target portals"
"38","Haier","Refrigerators","HRF-368 IFGA/IFRA","115000","","NOT_FOUND","Core model 368 not listed on target portals"
"39","Haier","Refrigerators","HRF-398 IFGA/IFRA","116000","","NOT_FOUND","Core model 398 not listed on target portals"
"40","Haier","Refrigerators","HRF-418 IFGA/IFRA/IFPA","117000","","NOT_FOUND","Core model 418 not listed on target portals"
"41","Haier","Refrigerators","HRF-438 IFGA/IFRA/IFPA","121400","","NOT_FOUND","Core model 438 not listed on target portals"
"42","Haier","Refrigerators","HRF-458 IFGA/IFRA/IFPA","122400","","NOT_FOUND","Core model 458 not listed on target portals"
"43","Haier","Refrigerators","HRF-538 IFGA/IFRA/IFPA","131500","","NOT_FOUND","Core model 538 not listed on target portals"
"44","Haier","Refrigerators","HRF-418 TIFG1U1/TIFB1U1 (IOT)","122000","","NOT_FOUND","Core model 418 not listed on target portals"
"45","Haier","Refrigerators","HRF-458 TIFG1U1/TIFB1U1 (IOT)","127400","","NOT_FOUND","Core model 458 not listed on target portals"
"46","Haier","Refrigerators","HRF-538 TIFG1U1/TIFB1U1 (IOT)","134500","","NOT_FOUND","Core model 538 not listed on target portals"
"47","Haier","Refrigerators","HRF-488 IFFB","230000","","NOT_FOUND","Core model 488 not listed on target portals"
"48","Haier","Refrigerators","HRF-518 IFFB","238000","","NOT_FOUND","Core model 518 not listed on target portals"
"49","Haier","Refrigerators","HRF-518 WIFFBGU1","244000","","NOT_FOUND","Core model 518 not listed on target portals"
"50","Haier","Refrigerators","HRF-622 IBS","250000","","NOT_FOUND","Core model 622 not listed on target portals"
