S_No,Brand,Category,Model_Name,MRP_Price
"1","Haier","Air Conditioners","HSU-19HFS/023WDC(W)-Super T3","134322"
"2","Haier","Air Conditioners","HSU-19HFN/013WDC(W)-T3","126695"
"3","Haier","Air Conditioners","HSU-19HFPAA/013/23/43WUSDC(G,S,B)-SG","122881"
"4","Haier","Air Conditioners","HSU-19HFCS/CA/CP/013/23WDC(W)-SG","113136"
"5","Haier","Air Conditioners","HSU-19RFP/013/23DC(W)","111441"
"6","Haier","Air Conditioners","HSU-19LFCM/013/23USDC(W)","108051"
"7","Haier","Air Conditioners","HSU-19LF-SUPREME/023DC(W)","108051"
"8","Haier","Air Conditioners","HSU-19LF-PRIME/023DC(W)","108051"
"9","Haier","Air Conditioners","HSU-18CFCP/023L(W)","98729"
"10","Haier","Air Conditioners","HSU-24HFAB/013WUSDC(W)-T3 Pro","175424"
"11","Haier","Air Conditioners","HSU-24HFAB/013WUSDC(Grey)-T3 Pro","180508"
"12","Haier","Air Conditioners","HSU-24HFCD/013/23WDC(W)","164407"
"13","Haier","Air Conditioners","HSU-24CFCM/023L(W)","139831"
"14","Haier","Air Conditioners","HBU-18HE/DC 1.5 254,237","254237"
"15","Haier","Air Conditioners","HBU-24HE/DC-QB-T3 2 372,881","372881"
"16","Haier","Air Conditioners","Cool Only HBU-48CE/DC 4 508,475","508475"
"17","Haier","Air Conditioners","Heat & Cool HBU-48E/DC 4 550,847","550847"
"18","Haier","Air Conditioners","HDU-24HE/DC 2 302,542","302542"
"19","Haier","Air Conditioners","HDU-48HE/DC 4 475,424","475424"
"20","Haier","Air Conditioners","HBU-24CE03/KB 2 259,322","259322"
"21","Haier","Air Conditioners","HBU-48CE03/KB 4 388,983","388983"
