ID,Product_Name,Brand,Category,Price,Status_Note
"22","Gree Split AC 2 Ton (inverter) Fairy Series","GREE","Air Conditioners","263696","IMAGE_NOT_FOUND_YET"
"27","Gree 1.5 Ton T3 Inverter AC 18aith24s","GREE","Air Conditioners","251739","IMAGE_NOT_FOUND_YET"
"39","Gree Gs-24aith21w-t3/21b-t3 2.0 Ton Inverter Split AC","GREE","Air Conditioners","165879","IMAGE_NOT_FOUND_YET"
"40","Haier 1.5ton T3 Inverter AC Hsu 20hftex","HAIER","Air Conditioners","178913","IMAGE_NOT_FOUND_YET"
"48","Haier AC 1 Ton DC Inverter AC 13lf","HAIER","Air Conditioners","103913","IMAGE_NOT_FOUND_YET"
"50","Haier Air Conditioner 1.ton - 13 Hfab T3 Inverter","HAIER","Air Conditioners","125652","IMAGE_NOT_FOUND_YET"
"66","Orient 1 Ton 12g Lunar Grace Golden","ORIENT","Air Conditioners","120217","IMAGE_NOT_FOUND_YET"
"78","TCL AC 1.5 Ton Inverter Voxin Series 18t5-vox-12","TCL","Air Conditioners","188696","IMAGE_NOT_FOUND_YET"
"82","TCL Split AC 2 Ton 24svn-ai-co-31 Savein Inverter","TCL","Air Conditioners","178913","IMAGE_NOT_FOUND_YET"
"84","Dawlance Combination Microwave Oven 25ltr (dw-115)","Dawlance","Microwave Ovens","45600","IMAGE_NOT_FOUND_YET"
"85","Dawlance Cook King Series Microwave Oven 26 Ltr Black (dw-128-g)","Dawlance","Microwave Ovens","38000","IMAGE_NOT_FOUND_YET"
"89","Dawlance Cooking Series Microwave Oven 30 Ltr (dw-131-hp-sync)","Dawlance","Microwave Ovens","42000","IMAGE_NOT_FOUND_YET"
"90","Dawlance Cooking Series Microwave Oven 30 Ltr (dw-132-s)","Dawlance","Microwave Ovens","36000","IMAGE_NOT_FOUND_YET"
"91","Dawlance Cooking Series Microwave Oven 30 Ltr (dw-133-g)","Dawlance","Microwave Ovens","40000","IMAGE_NOT_FOUND_YET"
"95","Dawlance Heating Microwave Oven 23 Ltr Black (dw-390 S)","Dawlance","Microwave Ovens","30000","IMAGE_NOT_FOUND_YET"
"99","Dawlance Microwave Oven 20ltr (md-10)","Dawlance","Microwave Ovens","22300","IMAGE_NOT_FOUND_YET"
"100","Dawlance Microwave Oven 20ltr (md-15)","Dawlance","Microwave Ovens","21200","IMAGE_NOT_FOUND_YET"
"101","Dawlance Microwave Oven 20ltr (md-15) Black","Dawlance","Microwave Ovens","22800","IMAGE_NOT_FOUND_YET"
"102","Dawlance Microwave Oven 20ltr (md-15) White","Dawlance","Microwave Ovens","22200","IMAGE_NOT_FOUND_YET"
"103","Dawlance Microwave Oven 20ltr (md-7)","Dawlance","Microwave Ovens","22300","IMAGE_NOT_FOUND_YET"
"110","Haier Grill Series Microwave Oven 28 Ltr Black (hmw-28100)","Haier","Microwave Ovens","39000","IMAGE_NOT_FOUND_YET"
"119","Dawlance - Washing Machine Automatic Single Tub Top Load 17kg - DWT 1776 Flt C Glow","Dawlance","Air Conditioners","145000","IMAGE_NOT_FOUND_YET"
"120","Dawlance - Washing Machine Automatic Top Load 11kg - DWT 1165","Dawlance","Air Conditioners","91000","IMAGE_NOT_FOUND_YET"
"121","Dawlance - Washing Machine Automatic Top Load 8kg - DWT 260 C Lvs+","Dawlance","Air Conditioners","92000","IMAGE_NOT_FOUND_YET"
"122","Dawlance - Washing Machine Semi Auto Single Tub Top Load 6kg - DS 6080","Dawlance","Air Conditioners","32000","IMAGE_NOT_FOUND_YET"
"123","Dawlance - Washing Machine Semi Auto Twin Tub Top Load 12kg - DW 10500","Dawlance","Air Conditioners","62000","IMAGE_NOT_FOUND_YET"
"124","Dawlance - Washing Machine Semi Auto Twin Tub Top Load 7.5kg - DW 8550 Cb Fl","Dawlance","Air Conditioners","53000","IMAGE_NOT_FOUND_YET"
"127","Dawlance Automatic Top Load Washing Machine 14kg Grey (dwt-1471-flp)","Dawlance","Air Conditioners","105000","IMAGE_NOT_FOUND_YET"
"129","Dawlance Semi Automatic Washing Machine 10kg (dw-7500c)","Dawlance","Air Conditioners","52000","IMAGE_NOT_FOUND_YET"
"131","Dawlance Top Load Fully Automatic Washing Machine (awm-dwt-1166-ads)- 11 Kg","Dawlance","Air Conditioners","100000","IMAGE_NOT_FOUND_YET"
"132","Dawlance Top Load Fully Automatic Washing Machine 10 Kg (dwt-1006)","Dawlance","Air Conditioners","91000","IMAGE_NOT_FOUND_YET"
"133","Dawlance Top Load Fully Automatic Washing Machine 11kg Gray (dwt-11671-flt)","Dawlance","Air Conditioners","90000","IMAGE_NOT_FOUND_YET"
"134","Dawlance Top Load Fully Automatic Washing Machine 11kg Silver (dwt-11467 Es)","Dawlance","Air Conditioners","80000","IMAGE_NOT_FOUND_YET"
"135","Dawlance Top Load Fully Automatic Washing Machine 14kg Silver (DWT 14470 Es)","Dawlance","Air Conditioners","102000","IMAGE_NOT_FOUND_YET"
"136","Dawlance Top Load Fully Automatic Washing Machine 17kg (dwt-1775-pl)","Dawlance","Air Conditioners","140000","IMAGE_NOT_FOUND_YET"
"137","Dawlance Top Load Fully Automatic Washing Machine 8.5kg (dwt-9560)","Dawlance","Air Conditioners","80000","IMAGE_NOT_FOUND_YET"
"138","Dawlance Top Load Fully Automatic Washing Machine 9kg (dwt-9060-ez)","Dawlance","Air Conditioners","70000","IMAGE_NOT_FOUND_YET"
"139","Dawlance Twin Tub Washing Machine (dw-6550c)","Dawlance","Air Conditioners","46000","IMAGE_NOT_FOUND_YET"
"140","Dawlance Twin Tub Washing Machine 6kg (dw-6580 Cfl)","Dawlance","Air Conditioners","49000","IMAGE_NOT_FOUND_YET"
"141","Haier - Washing Machine Automatic Single Tub Top Load 10kg - HWM 100-316s6","Haier","Air Conditioners","80000","IMAGE_NOT_FOUND_YET"
"142","Haier - Washing Machine Automatic Single Tub Top Load 12kg - HWM 120-316s6","Haier","Air Conditioners","90000","IMAGE_NOT_FOUND_YET"
"143","Haier - Washing Machine Semi Auto Single Tub Top Load 12kg - HWM 120-35","Haier","Air Conditioners","45000","IMAGE_NOT_FOUND_YET"
"144","Haier - Washing Machine Semi Auto Single Tub Top Load 13kg - HWM 130-1217 Gb","Haier","Air Conditioners","42000","IMAGE_NOT_FOUND_YET"
"145","Haier - Washing Machine Semi Auto Twin Tub Top Load 8kg - HWM 80-186","Haier","Air Conditioners","44000","IMAGE_NOT_FOUND_YET"
"146","Haier Fully Automatic Top Load Washing Machine 10 Kg (HWM 100-826)","Haier","Air Conditioners","75000","IMAGE_NOT_FOUND_YET"
"147","Haier Fully Automatic Top Load Washing Machine 9 Kg (HWM 90-826 E )","Haier","Air Conditioners","68000","IMAGE_NOT_FOUND_YET"
"148","Haier Semi Automatic Washing Machine 8 Kg Grey (HWM 80-60)","Haier","Air Conditioners","27000","IMAGE_NOT_FOUND_YET"
"149","Haier Top Load 10.5 Kg Fully Automatic Washing Machine (hwm-110-b688s8)","Haier","Air Conditioners","90000","IMAGE_NOT_FOUND_YET"
"150","Haier Top Load Automatic Dryer Machine 6kg (HWM 60-50)","Haier","Air Conditioners","30000","IMAGE_NOT_FOUND_YET"
"151","Haier Top Load Fully Automatic Washing Machine 12 Kg (hwm-120-826 Gt)","Haier","Air Conditioners","90000","IMAGE_NOT_FOUND_YET"
"152","Haier Top Load Fully Automatic Washing Machine 13 Kg (hwm130-688s8)","Haier","Air Conditioners","100000","IMAGE_NOT_FOUND_YET"
"153","Haier Top Load Fully Automatic Washing Machine 15 Kg (hwm130-688s8)","Haier","Air Conditioners","105000","IMAGE_NOT_FOUND_YET"
"154","Haier Top Load Fully Automatic Washing Machine 8.5kg (hwm-85-1269s6)","Haier","Air Conditioners","65000","IMAGE_NOT_FOUND_YET"
"155","Haier Top Load Semi Auto Washing Machine 8-kg (HWM 80-1217)","Haier","Air Conditioners","27000","IMAGE_NOT_FOUND_YET"
"156","Haier Top Load Semi Automatic Washing Machine 7.5 Kg (hwm-75as)","Haier","Air Conditioners","36000","IMAGE_NOT_FOUND_YET"
"157","Haier Twin Tub Series Washing Machine White 10 Kg (hmw100-1217)","Haier","Air Conditioners","43000","IMAGE_NOT_FOUND_YET"
"158","Haier Twin Tub Top Load Semi Automatic Washing Machine 10kg (HTW 100-196g)","Haier","Air Conditioners","45000","IMAGE_NOT_FOUND_YET"
"159","Haier Twin Tub Top Load Semi Automatic Washing Machine 8 Kg (hwm-80-cs)","Haier","Air Conditioners","38000","IMAGE_NOT_FOUND_YET"
"160","Haier Washing Machine Semi Auto Twin Tub Top Load 10kg - HTW 100-196e","Haier","Air Conditioners","46000","IMAGE_NOT_FOUND_YET"
"161","Haier-10 Kg-fully Automatic-top Loading Washing Machine HWM 100-1269","Haier","Air Conditioners","70000","IMAGE_NOT_FOUND_YET"
"162","Samsung 10kg Washing Machine Wa10ck4545byrt With Ecobubble","Samsung","Air Conditioners","140000","IMAGE_NOT_FOUND_YET"
"163","Samsung 8kg Washing Machine Wa80ck4240bwrt Dit","Samsung","Air Conditioners","100000","IMAGE_NOT_FOUND_YET"
"164","Samsung 9kg Washing Machine Wa90ck4545bdrt","Samsung","Air Conditioners","130000","IMAGE_NOT_FOUND_YET"
"165","Samsung Ecobubble Top Load Fully Automatic Washing Machine 13 Kg Dark Gray (wa13ck5441byrt)","Samsung","Air Conditioners","150000","IMAGE_NOT_FOUND_YET"
"166","Samsung Ecobubble Top Load Fully Automatic Washing Machine 15 Kg Dark Gray (wa15ck5745bdrt)","Samsung","Air Conditioners","160000","IMAGE_NOT_FOUND_YET"
"167","Samsung Ecobubble Top Load Fully Automatic Washing Machine 17 Kg Dark Gray (wa17ck6745bdrt)","Samsung","Air Conditioners","220000","IMAGE_NOT_FOUND_YET"
"168","Samsung Top Load Fully Automatic Washing Machine 21kg White (wa21ck6745bvrt)","Samsung","Air Conditioners","225000","IMAGE_NOT_FOUND_YET"
"172","Haier Hrf-346 Ipra/ipga/ippa","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"173","Haier Hrf-316 Idga/idrga","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"174","Haier Hrf-346 Idga/idrga","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"175","Haier Hrf-316 Iapa+/iara","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"176","Haier Hrf-346 Iapa+/iara","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"177","Haier Hrf-316 Ifga/ifra","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"178","Haier Hrf-346 Ifga/ifra","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"182","Haier Hrf 246 Epr/epb","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"183","Haier Hrf-276 Ebs/ebd","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"184","Haier Hrf 276 Epr/epb","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"185","Haier Hrf-368 Epr/epb","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"186","Haier Hrf-398 Epr/epb","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"188","Haier Hrf-538 Epr/epg","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"189","Haier Hrf-246 Ipra/ipga/ippa","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"190","Haier Hrf-276 Ipra/ipga/ippa","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"191","Haier Hrf-538 Ipra/ipga/ippa","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"192","Haier Hrf-538 Idga/idrga","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"193","Haier Hrf-368 Iapa+/iara","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"194","Haier Hrf-398 Iapa+/iara","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"196","Haier Hrf-538 Iapa+/iara","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"197","Haier Hrf-368 Ifga/ifra","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"198","Haier Hrf-398 Ifga/ifra","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"200","Haier Hrf-538 Ifga/ifra/ifpa","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"201","Haier Hrf-538 Tifg1u1/tifb1u1 (iot)","Haier","Refrigerators","65000","IMAGE_NOT_FOUND_YET"
"203","Dawlance DW-7200 WFL","Dawlance","Washing Machines","20500","IMAGE_NOT_FOUND_YET"
"219","Haier PEL PMO-23 SLM 23 Ltr Desire Microwave Oven/On Installments","Haier","Washing Machines","28500","IMAGE_NOT_FOUND_YET"
"222","Haier PEL PMO-26 Desire Microwave Oven/On Installments","Haier","Washing Machines","35500","IMAGE_NOT_FOUND_YET"
"223","Haier Pel PMO-30 Desire Microwave Oven 30 Litres/On Installments","Haier","Washing Machines","40500","IMAGE_NOT_FOUND_YET"
"224","Haier Philips Espresso EP2220 Fully automatic espresso machines/On Installments","Haier","Washing Machines","160000","IMAGE_NOT_FOUND_YET"
"225","Haier TCL Elite TAC-24HEA 2 Ton-BE-On Installments","Haier","Washing Machines","198400","IMAGE_NOT_FOUND_YET"
"229","Haier HWM 120-1678 ES9","Haier","Washing Machines","74000","IMAGE_NOT_FOUND_YET"
"233","Haier HWM-130-1217 GB","Haier","Washing Machines","25000","IMAGE_NOT_FOUND_YET"
"267","WestPoint 1186","WestPoint","Kitchen Appliances","35000","IMAGE_NOT_FOUND_YET"
"268","WestPoint 1203","WestPoint","Kitchen Appliances","35000","IMAGE_NOT_FOUND_YET"
"269","WestPoint 1253","WestPoint","Kitchen Appliances","35000","IMAGE_NOT_FOUND_YET"
"270","WestPoint 1353","WestPoint","Kitchen Appliances","35000","IMAGE_NOT_FOUND_YET"
"271","WestPoint 1833","WestPoint","Kitchen Appliances","35000","IMAGE_NOT_FOUND_YET"
"272","WestPoint 1844","WestPoint","Kitchen Appliances","35000","IMAGE_NOT_FOUND_YET"
"274","WestPoint 1853","WestPoint","Kitchen Appliances","35000","IMAGE_NOT_FOUND_YET"
"275","WestPoint 1860","WestPoint","Kitchen Appliances","35000","IMAGE_NOT_FOUND_YET"
"276","WestPoint 2025","WestPoint","Kitchen Appliances","35000","IMAGE_NOT_FOUND_YET"
"277","WestPoint 2063","WestPoint","Kitchen Appliances","35000","IMAGE_NOT_FOUND_YET"
"278","TCL C655 43 Inch Classic 4K QLED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"279","TCL LED 50 C655 QLED Pro TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"280","TCL C655 55 Inch Classic 4K QLED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"281","TCL 65 C655 QLED Pro TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"283","TCL 75 C655 QLED Pro TV-ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"284","TCL 75 C655 QLED Pro TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"285","TCL C655 85 Inch Classic 4K QLED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"286","TCL 32 Inch Led - L5A Smart Android 2024 ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"287","TCL L5A 40 Inch Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"288","TCL L5A 43 Inch Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"289","TCL 43 inch 43S5200 Smart Android LED TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"290","TCL 32 Inch S5400 FHD Smart Bezel Less Android TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"291","TCL S5400 40 Inch FHD Smart Bezel Less Android TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"292","TCL 43 Inch S5400 FHD Smart Bezel Less Android TV With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"293","TCL 43V6B 43 inch 4K HDR Google TV New Series With Official Warranty ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"294","TCL 50 V6B UHD Google TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"295","TCL 55 V6B UHD Google TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"296","TCL 65 V6B UHD Google TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"297","TCL 43 P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"298","TCL 50 P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"299","TCL 55 P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"300","TCL 65 P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"301","TCL 75 P71B UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"302","TCL 55 C645 QLED Smart TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"303","TCL 43 P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"304","TCL 50 P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"305","TCL 55 P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"306","TCL 65 P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"307","TCL 75 P755 UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"308","TCL 55 C755 Mini LED 4K TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"309","TCL 65 C755 Mini LED 4K TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"310","TCL 75 C755 Mini LED 4K TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"311","TCL 75 C835 TCL Mini LED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"312","TCL 65 C855 Premium QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"313","TCL 75 C855 Premium QD-MiniLED TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"314","TCL 55 P6K UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
"315","TCL 65 P6K UHD Android TV ONLY FOR KARACHI-By Electronics World","TCL","LED TVs","85000","IMAGE_NOT_FOUND_YET"
