S_No,Brand,Category,Model_Name,SKU,Rate,Match_Notes
"1","WestPoint","Kitchen Appliance","WestPoint 2064","","","Model truly not found on official site - possibly discontinued"
"2","WestPoint","Kitchen Appliance","WestPoint 2065","","","Model truly not found on official site - possibly discontinued"
"3","WestPoint","Kitchen Appliance","WestPoint 2386","","","Model truly not found on official site - possibly discontinued"
"4","WestPoint","Kitchen Appliance","WestPoint 2405","","","Model truly not found on official site - possibly discontinued"
"5","WestPoint","Kitchen Appliance","WestPoint 2409","","","Model truly not found on official site - possibly discontinued"
"6","WestPoint","Kitchen Appliance","WestPoint 2432","","","Model truly not found on official site - possibly discontinued"
"7","WestPoint","Kitchen Appliance","WestPoint 2451","","","Model truly not found on official site - possibly discontinued"
"8","WestPoint","Kitchen Appliance","WestPoint 2803","","","Model truly not found on official site - possibly discontinued"
"9","WestPoint","Kitchen Appliance","WestPoint 2805","","","Duplicate image URL skipped"
"10","WestPoint","Kitchen Appliance","WestPoint 3117","","","Model truly not found on official site - possibly discontinued"
"11","WestPoint","Kitchen Appliance","WestPoint 3118","","","Duplicate image URL skipped"
"12","WestPoint","Kitchen Appliance","WestPoint 3119","","","Model truly not found on official site - possibly discontinued"
"13","WestPoint","Kitchen Appliance","WestPoint 312","","","Model truly not found on official site - possibly discontinued"
"14","WestPoint","Kitchen Appliance","WestPoint 313","","","Model truly not found on official site - possibly discontinued"
"15","WestPoint","Kitchen Appliance","WestPoint 314","","","Model truly not found on official site - possibly discontinued"
"16","WestPoint","Kitchen Appliance","WestPoint 1186","","","Model truly not found on official site - possibly discontinued"
"17","WestPoint","Kitchen Appliance","WestPoint 1253","","","Model truly not found on official site - possibly discontinued"
"18","WestPoint","Kitchen Appliance","WestPoint 1353","","","Model truly not found on official site - possibly discontinued"
"19","WestPoint","Kitchen Appliance","WestPoint 1833","","","Model truly not found on official site - possibly discontinued"
"20","WestPoint","Kitchen Appliance","WestPoint 1844","","","Model truly not found on official site - possibly discontinued"
"21","WestPoint","Kitchen Appliance","WestPoint 1846","","","Model truly not found on official site - possibly discontinued"
"22","WestPoint","Kitchen Appliance","WestPoint 1860","","","Model truly not found on official site - possibly discontinued"
"23","WestPoint","Kitchen Appliance","WestPoint 2025","","","Model truly not found on official site - possibly discontinued"
"24","WestPoint","Kitchen Appliance","WestPoint 2386","","","Model truly not found on official site - possibly discontinued"
"25","WestPoint","Kitchen Appliance","WestPoint 2405","","","Model truly not found on official site - possibly discontinued"
"26","WestPoint","Kitchen Appliance","WestPoint 2409","","","Model truly not found on official site - possibly discontinued"
"27","WestPoint","Kitchen Appliance","WestPoint 2432","","","Model truly not found on official site - possibly discontinued"
"28","WestPoint","Kitchen Appliance","WestPoint 2451","","","Model truly not found on official site - possibly discontinued"
"29","WestPoint","Kitchen Appliance","WestPoint 2803","","","Model truly not found on official site - possibly discontinued"
"30","WestPoint","Kitchen Appliance","WestPoint 312","","","Model truly not found on official site - possibly discontinued"
"31","WestPoint","Kitchen Appliance","WestPoint 313","","","Model truly not found on official site - possibly discontinued"
"32","WestPoint","Kitchen Appliance","WestPoint 314","","","Model truly not found on official site - possibly discontinued"
"33","WestPoint","Kitchen Appliance","WestPoint 332","","","Model truly not found on official site - possibly discontinued"
"34","WestPoint","Kitchen Appliance","WestPoint 333","","","Model truly not found on official site - possibly discontinued"
"35","WestPoint","Kitchen Appliance","WestPoint 342","","","Model truly not found on official site - possibly discontinued"
"36","WestPoint","Kitchen Appliance","WestPoint 343","","","Model truly not found on official site - possibly discontinued"
"37","WestPoint","Kitchen Appliance","WestPoint 364","","","Model truly not found on official site - possibly discontinued"
"38","WestPoint","Kitchen Appliance","WestPoint 366","","","Model truly not found on official site - possibly discontinued"
