S_No,Product_ID,Brand,Product_Model,Category,Current_Image_URL,Reason_Flagged
"1","288","GREE","Gree AC 18AITH21W Black 1.5 Ton Airy Plus T3 Inverter","Air Conditioner","/images/cat_ac.png","Duplicate image shared across 2 different models"
"2","294","GREE","Gree Inverter AC| 1.5 Ton | 18PITH 11S/11W/14S","Air Conditioner","/images/cat_ac.png","Duplicate image shared across 2 different models"
"3","386","Dawlance","Dawlance - Spinner Washing Machine Top Load 10KG - DW 6000","Washing Machine","/images/products/dawlance-dawlance-spinner-washing-machine-top-load-10kg-dw-6000.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"4","388","Dawlance","Dawlance - Washing Machine Semi Auto Single Tub Top Load 6KG - DS 6080","Washing Machine","/images/products/dawlance-dawlance-washing-machine-semi-auto-single-tub-top-load-6kg-ds-6080.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"5","391","Dawlance","Dawlance Twin Tub Washing Machine (DW-6550C)","Washing Machine","/images/products/dawlance-twin-tub-washing-machine-dw-6550c.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"6","392","Dawlance","Dawlance Twin Tub Washing Machine 6kg (DW-6580 CFL)","Washing Machine","/images/products/dawlance-dawlance-twin-tub-washing-machine-6kg-dw-6580-cfl.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"7","393","Dawlance","Dawlance Semi Automatic Washing Machine 10kg (DW-7500C)","Washing Machine","/images/products/dawlance-dawlance-semi-automatic-washing-machine-10kg-dw-7500c.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"8","394","Dawlance","Dawlance - Washing Machine Semi Auto Twin Tub Top Load 7.5KG - DW 8550 CB FL","Washing Machine","/images/products/dawlance-dawlance-washing-machine-semi-auto-twin-tub-top-load-7-5kg-dw-8550-cb-fl.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"9","395","Dawlance","Dawlance - Washing Machine Semi Auto Twin Tub Top Load 12KG - DW 10500","Washing Machine","/images/products/dawlance-washing-machine-semi-auto-twin-tub-top-load-12kg-dw-10500.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"10","396","Dawlance","Dawlance - Washing Machine Automatic Top Load 8KG - DWT 260 C LVS+","Washing Machine","/images/products/dawlance-dawlance-washing-machine-automatic-top-load-8kg-dwt-260-c-lvs.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"11","397","Dawlance","Dawlance - Washing Machine Automatic Top Load 11KG - DWT 1165","Washing Machine","/images/products/dawlance-washing-machine-automatic-top-load-11kg-dwt-1165.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"12","399","Dawlance","Dawlance Top Load Fully Automatic Washing Machine 11kg Gray (DWT-11671-FLT)","Washing Machine","/images/products/dawlance-top-load-fully-automatic-washing-machine-11kg-gray-dwt-11671-flt.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"13","402","Dawlance","Dawlance - Washing Machine Automatic Single Tub Top Load 17KG - DWT 1776 FLT C Glow","Washing Machine","/images/products/dawlance-washing-machine-automatic-single-tub-top-load-17kg-dwt-1776-flt-c-glow.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"14","403","Dawlance","Dawlance Top Load Fully Automatic Washing Machine (AWM-DWT-1166-ADS)- 11 KG","Washing Machine","/images/products/dawlance-top-load-fully-automatic-washing-machine-awm-dwt-1166-ads-11-kg.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"15","404","Dawlance","Dawlance Automatic Top Load Washing Machine 14kg Grey (DWT-1471-FLP)","Washing Machine","/images/products/dawlance-automatic-top-load-washing-machine-14kg-grey-dwt-1471-flp.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"16","406","Dawlance","Dawlance Top Load Fully Automatic Washing Machine 9KG (DWT-9060-EZ)","Washing Machine","/images/products/dawlance-dawlance-top-load-fully-automatic-washing-machine-9kg-dwt-9060-ez.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"17","407","Dawlance","Dawlance Top Load Fully Automatic Washing Machine 8.5kg (DWT-9560)","Washing Machine","/images/products/dawlance-dawlance-top-load-fully-automatic-washing-machine-8-5kg-dwt-9560.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"18","408","Dawlance","Dawlance Top Load Fully Automatic Washing Machine 10 KG (DWT-1006)","Washing Machine","/images/products/dawlance-dawlance-top-load-fully-automatic-washing-machine-10-kg-dwt-1006.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"19","409","Haier","Haier Top Load Automatic Dryer Machine 6KG (HWM 60-50)","Washing Machine","/images/products/haier-top-load-automatic-dryer-machine-6kg-hwm-60-50.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"20","410","Haier","Haier Semi Automatic Washing Machine 8 KG Grey (HWM 80-60)","Washing Machine","/images/products/haier-semi-automatic-washing-machine-8-kg-grey-hwm-80-60.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"21","411","Haier","Haier Top Load Semi Auto Washing Machine 8-kg (HWM 80-1217)","Washing Machine","/images/products/haier-top-load-semi-auto-washing-machine-8-kg-hwm-80-1217.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"22","412","Haier","Haier - Washing Machine Semi Auto Single Tub Top Load 12KG - HWM 120-35","Washing Machine","/images/products/haier-washing-machine-semi-auto-single-tub-top-load-12kg-hwm-120-35.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"23","413","Haier","Haier - Washing Machine Semi Auto Single Tub Top Load 13KG - HWM 130-1217 GB","Washing Machine","/images/products/haier-washing-machine-semi-auto-single-tub-top-load-13kg-hwm-130-1217-gb.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"24","414","Haier","Haier Top Load Semi Automatic Washing Machine 7.5 KG (HWM-75AS)","Washing Machine","/images/products/haier-top-load-semi-automatic-washing-machine-7-5-kg-hwm-75as.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"25","415","Haier","Haier Twin Tub Top Load Semi Automatic Washing Machine 8 KG (HWM-80-CS)","Washing Machine","/images/products/haier-twin-tub-top-load-semi-automatic-washing-machine-8-kg-hwm-80-cs.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"26","416","Haier","Haier Twin Tub Top Load Semi Automatic Washing Machine 10kg (HTW 100-196G)","Washing Machine","/images/products/haier-twin-tub-top-load-semi-automatic-washing-machine-10kg-htw-100-196g.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"27","417","Haier","Haier Washing Machine Semi Auto Twin Tub Top Load 10KG - HTW 100-196E","Washing Machine","/images/products/haier-washing-machine-semi-auto-twin-tub-top-load-10kg-htw-100-196e.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"28","418","Haier","Haier Twin Tub Series Washing Machine White 10 Kg (HMW100-1217)","Washing Machine","/images/products/haier-twin-tub-series-washing-machine-white-10-kg-hmw100-1217.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"29","419","Haier","Haier - Washing Machine Semi Auto Twin Tub Top Load 8KG - HWM 80-186","Washing Machine","/images/products/haier-washing-machine-semi-auto-twin-tub-top-load-8kg-hwm-80-186.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"30","420","Haier","Haier Top Load Fully Automatic Washing Machine 8.5kg (HWM-85-1269S6)","Washing Machine","/images/products/haier-top-load-fully-automatic-washing-machine-8-5kg-hwm-85-1269s6.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"31","422","Haier","Haier Fully Automatic Top load Washing Machine 9 Kg (HWM 90-826 E )","Washing Machine","/images/products/haier-fully-automatic-top-load-washing-machine-9-kg-hwm-90-826-e.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
"32","423","Haier","Haier Fully Automatic Top load Washing Machine 10 Kg (HWM 100-826)","Washing Machine","/images/products/haier-fully-automatic-top-load-washing-machine-10-kg-hwm-100-826.jpg","Category Mismatch (Washing Machine has AC/Fridge/Dispenser image filename)"
