Product_Model,Brand,Category,Reason
"Dawlance Combination Microwave Oven 25ltr (dw-115)","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Dawlance Cook King Series Microwave Oven 26 Ltr Black (dw-128-g)","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Dawlance Cooking Series Microwave Oven 30 Ltr (dw-131-hp-sync)","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Dawlance Cooking Series Microwave Oven 30 Ltr (dw-132-s)","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Dawlance Cooking Series Microwave Oven 30 Ltr (dw-133-g)","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Dawlance Heating Microwave Oven 23 Ltr Black (dw-390 S)","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Dawlance Microwave Oven 20ltr (md-10)","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Dawlance Microwave Oven 20ltr (md-15)","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Dawlance Microwave Oven 20ltr (md-15) Black","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Dawlance Microwave Oven 20ltr (md-15) White","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Dawlance Microwave Oven 20ltr (md-7)","Dawlance","Microwave Ovens","Not found on any site with unique image"
"Haier Fully Automatic Top Load Washing Machine 9 Kg (HWM 90-826 E )","Haier","Air Conditioners","Only duplicate/shared image available"
"Samsung 10kg Washing Machine Wa10ck4545byrt With Ecobubble","Samsung","Air Conditioners","Not found on any site with unique image"
"Samsung Ecobubble Top Load Fully Automatic Washing Machine 13 Kg Dark Gray (wa13ck5441byrt)","Samsung","Air Conditioners","Only duplicate/shared image available"
"Samsung Ecobubble Top Load Fully Automatic Washing Machine 15 Kg Dark Gray (wa15ck5745bdrt)","Samsung","Air Conditioners","Only duplicate/shared image available"
"Samsung Ecobubble Top Load Fully Automatic Washing Machine 17 Kg Dark Gray (wa17ck6745bdrt)","Samsung","Air Conditioners","Only duplicate/shared image available"
"Haier Hrf-346 Ipra/ipga/ippa","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-316 Idga/idrga","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-346 Idga/idrga","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-316 Iapa+/iara","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-346 Iapa+/iara","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-316 Ifga/ifra","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-346 Ifga/ifra","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf 246 Epr/epb","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-276 Ebs/ebd","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf 276 Epr/epb","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-368 Epr/epb","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-398 Epr/epb","Haier","Refrigerators","Only duplicate/shared image available"
"Haier Hrf-538 Epr/epg","Haier","Refrigerators","Only duplicate/shared image available"
