S_No,Brand,Category,Model_Name,SKU,Rate,Reason_Unmatched
"1","AC","AC","10 LF",""," 92,000 ","No exact model match on official brand site"
"2","AC","AC","12 CF",""," 88,000 ","No exact model match on official brand site"
"3","AC","AC","12 FITH 6C/S",""," 146,000 ","No exact model match on official brand site"
"4","AC","AC","12 T3 PRO",""," 119,000 ","No exact model match on official brand site"
"5","AC","AC","12G Frost Everest",""," 99,000 ","No exact model match on official brand site"
"6","AC","AC","12e Cool",""," 91,000 ","No exact model match on official brand site"
"7","AC","AC","13 LF",""," 97,500 ","No exact model match on official brand site"
"8","AC","AC","15 Enercon",""," -   ","No exact model match on official brand site"
"9","AC","AC","15 Inspire",""," 102,000 ","No exact model match on official brand site"
"10","AC","AC","15 Mega Flex",""," 114,000 ","No exact model match on official brand site"
"11","AC","AC","15 Mega T+",""," 116,500 ","No exact model match on official brand site"
"12","AC","AC","15 Powercon",""," 101,000 ","No exact model match on official brand site"
"13","AC","AC","15 Sprinter",""," 101,000 ","No exact model match on official brand site"
"14","AC","AC","18 AITH",""," 225,000 ","No exact model match on official brand site"
"15","AC","AC","18 FITH 6C/S",""," 181,000 ","No exact model match on official brand site"
"16","AC","AC","18 HEF",""," -   ","No exact model match on official brand site"
"17","AC","AC","18 HFC",""," 129,000 ","No exact model match on official brand site"
"18","AC","AC","18 HFP",""," 144,000 ","No exact model match on official brand site"
"19","AC","AC","18 HJ",""," 205,000 ","No exact model match on official brand site"
"20","AC","AC","18 HJ UV",""," 181,000 ","No exact model match on official brand site"
"21","AC","AC","18 T3 PRO",""," 164,000 ","No exact model match on official brand site"
"22","AC","AC","18 T3B",""," 160,000 ","No exact model match on official brand site"
"23","AC","AC","18G Frost Everest",""," 124,000 ","No exact model match on official brand site"
"24","AC","AC","18e Cool",""," 118,000 ","No exact model match on official brand site"
"25","AC","AC","19 HFC",""," 130,000 ","No exact model match on official brand site"
"26","AC","AC","19 HFP",""," 145,000 ","No exact model match on official brand site"
"27","AC","AC","19 LF",""," 122,500 ","No exact model match on official brand site"
"28","AC","AC","2 Ton Floor Inv 24 T3",""," 265,000 ","No exact model match on official brand site"
"29","AC","AC","20 Chrome",""," 110,000 ","No exact model match on official brand site"
"30","AC","AC","20 Frost",""," 102,000 ","No exact model match on official brand site"
"31","AC","AC","20 HFTEX Grey",""," 163,000 ","No exact model match on official brand site"
