id,name,category,brand,price,image
1194,"Orient Everest 18w Geo White 1.5 Ton DC Inverter AC","Air Conditioners","Orient",135000,"https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-everest-geo-white-dc-inverter.png.webp"
1195,"Orient Infinity 18x Silver Matt T3+ Inverter AC","Air Conditioners","Orient",145000,"https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-megatron-infinity-ecomfort-dc-inverter.png.webp"
1196,"Dawlance 15 Frost Pro 1 Ton Inverter Split AC","Air Conditioners","Dawlance",98000,"/images/product_ac.png"
1197,"Dawlance 1.5 Ton 30 Infinity Pro Inverter AC","Air Conditioners","Dawlance",125000,"https://cdn.comverseglobal.com/alfa/products/product_images/30-infinity-pro_160226140327522124.png"
1198,"Dawlance Aura X 30 1.5 Ton Inverter Split AC","Air Conditioners","Dawlance",128000,"https://cdn.comverseglobal.com/alfa/products/product_images/aurax1ton-2_1_220526180727264429.jpg"
1199,"EcoStar 18t3pro 1.5 Ton Inverter Split AC","Air Conditioners","EcoStar",119000,"https://www.surmawala.pk/cdn/shop/files/t3-new.png?v=1754727601"
1200,"Gree GS-12FITH1W 1 Ton Inverter Split AC","Air Conditioners","Gree",108000,"/images/product_ac_2.png"
1201,"Gree GS-18FITH1W 1.5 Ton Inverter Split AC","Air Conditioners","Gree",138000,"https://hadielectronics.com.pk/wp-content/uploads/2026/02/GS-18FITH1W.webp"
1202,"Haier HRF-538TGG 21 CFT Side by Side Refrigerator","Refrigerators","Haier",155000,"/images/products/m1_1202_1785605112936.jpg"
1203,"Dawlance DW-9191 FP INOX Refrigerator","Refrigerators","Dawlance",78000,"/images/product_fridge.png"
1204,"Haier HRF-316 EPR Glass Door Refrigerator","Refrigerators","Haier",68000,"/images/products/ready_hrf_316_epr.jpg"
1205,"Dawlance DW-7200 WFL Fully Automatic Washer","Washing Machines","Dawlance",58000,"/images/products/dw7200wfl.jpg"
1206,"Dawlance DW-6550 G Twin Tub Washer","Washing Machines","Dawlance",39000,"/images/products/dw6550g.jpg"
1207,"Dawlance DW-6000 Single Tub Spinner","Washing Machines","Dawlance",21000,"https://digimall.faysalbank.com/_next/image?url=https%3A%2F%2Fcdn.faysalbank.com%2Fdigimall%2Fproducts%2Fproduct_images%2F1780559736748892_040626125536847476.jpg&w=384&q=75"
1208,"Haier HWM-85-1708 Semi Automatic Washer","Washing Machines","Haier",32000,"/images/product_washer.png"
1209,"Dawlance DWF-7120 Fully Automatic Front Load","Washing Machines","Dawlance",65000,"/images/products/m1_1209_dawlance-dwf-7120-fully-automatic-front-load.jpg"
1210,"Kenwood MWM-30 30L Microwave Oven","Microwave Ovens","Kenwood",16000,"/images/product_microwave.png"
1211,"PEL PMO-20 BH Classic Plus Microwave","Microwave Ovens","PEL",26000,"/images/products/haier-pel-microwave-oven-pmo-20-bh-classic-plus-on-installment.jpg"
1212,"PEL PMO-30BG Glamour Microwave Oven 30L","Microwave Ovens","PEL",42000,"/images/products/haier-pel-pmo-30bg-glamour-microwave-oven-30-ltr-on-istallments.jpg"
1213,"Dawlance DW-210 Solo Microwave Oven","Microwave Ovens","Dawlance",18000,"/images/products/dw210solo.jpg"
1214,"WestPoint 1846 Air Fryer 4.5L","Kitchen Appliances","WestPoint",19500,"/images/products/truly_diff_microwave.jpg"
1215,"Haier HWD-311 Water Dispenser","Water Dispensers","Haier",16500,"/images/products/haier-hwd-311-water-dispenser.jpg"
1216,"PEL 215 Pearl Water Dispenser","Water Dispensers","PEL",42000,"/images/products/haier-pel-pmo-23-desire-microwave-oven-on-installments.jpg"
1217,"Philips Espresso EP2220 Fully Automatic Coffee Machine","Kitchen Appliances","Philips",175000,"/images/products/haier-philips-espresso-ep2220-fully-automatic-espresso-machines-on-installments.jpg"
1218,"ORIENT SPLIT AC MEGA 12X � 1 Ton T3 DC Inverter Heat & Cool","Air Conditioners","Orient",12112,"/images/products/orient-orient-split-ac-mega-12x-1-ton-t3-dc-inverter-heat-cool.jpg"
1219,"Orient 1 Ton 12G Lunar Grace Golden","Air Conditioners","Orient",45000,"https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ0Ti3b7kYxj4DZOaV-49hS8fQ23grQT2__fIJxHhLx5sNXRW8IlUSqpRs&s=10"
1220,"Orient Everest 12W Geo White","Air Conditioners","Orient",12112,"https://www.orient.com.pk/assets/products-images-2026/air-conditioners/1-ton-everest-geo-white-dc-inverter.png.webp"
1221,"Orient FA 18X Snow White","Air Conditioners","Orient",146304,"https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-fa-snow-white-dc-inverter-d9f71156.png.webp"
1222,"Orient Everest 18W Geo White","Air Conditioners","Orient",18153,"https://www.orient.com.pk/assets/products-images-2026/air-conditioners/15-ton-everest-geo-white-dc-inverter.png.webp"
