ID,Name,Brand,Category,Price,DiscountPrice,Image_URL
114,"Dawlance - Spinner Washing Machine Top Load 10kg - DW 6000","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-spinner-washing-machine-top-load-10kg-dw-6000.png"
115,"Dawlance - Washing Machine Automatic Single Tub Top Load 17kg - DWT 1776 Flt C Glow","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-washing-machine-automatic-single-tub-top-load-17kg-dwt-1776-flt-c-glow.png"
116,"Dawlance - Washing Machine Automatic Top Load 11kg - DWT 1165","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-washing-machine-automatic-top-load-11kg-dwt-1165.png"
117,"Dawlance - Washing Machine Automatic Top Load 8kg - DWT 260 C Lvs+","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-washing-machine-automatic-top-load-8kg-dwt-260-c-lvs.png"
118,"Dawlance - Washing Machine Semi Auto Single Tub Top Load 6kg - DS 6080","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-washing-machine-semi-auto-single-tub-top-load-6kg-ds-6080.png"
119,"Dawlance - Washing Machine Semi Auto Twin Tub Top Load 12kg - DW 10500","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-washing-machine-semi-auto-twin-tub-top-load-12kg-dw-10500.png"
120,"Dawlance - Washing Machine Semi Auto Twin Tub Top Load 7.5kg - DW 8550 Cb Fl","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-washing-machine-semi-auto-twin-tub-top-load-7-5kg-dw-8550-cb-fl.png"
121,"Dawlance - Washing Machine Top Load 8kg - DW 6100c Advanco","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-washing-machine-top-load-8kg-dw-6100c-advanco.png"
3,"Dawlance 1 Ton Inverter Split AC Frost Pro 15","DAWLANCE","Air Conditioners",50000,47500,"/images/dawlance-dawlance-1-ton-inverter-split-ac-frost-pro-15.png"
4,"Dawlance 1.5 Ton 30 Infinity Pro","DAWLANCE","Air Conditioners",50000,47500,"/images/dawlance-dawlance-1-5-ton-30-infinity-pro.png"
5,"Dawlance AC 15 Infinity Pro 1 Ton","DAWLANCE","Air Conditioners",50000,47500,"/images/dawlance-dawlance-ac-15-infinity-pro-1-ton.png"
6,"Dawlance AC Aura X 30 1.5 Ton Inverter Split AC","DAWLANCE","Air Conditioners",50000,47500,"/images/dawlance-dawlance-ac-aura-x-30-1-5-ton-inverter-split-ac.png"
7,"Dawlance Aura X 1.5 Ton Inverter Split AC","DAWLANCE","Air Conditioners",50000,47500,"/images/dawlance-dawlance-aura-x-1-5-ton-inverter-split-ac.png"
123,"Dawlance Automatic Top Load Washing Machine 14kg Grey (dwt-1471-flp)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-automatic-top-load-washing-machine-14kg-grey-dwt-1471-flp.png"
124,"Dawlance DWT 1580 Inv Automatic Top Load Washing Machine 15kg Inverter","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-dwt-1580-inv-automatic-top-load-washing-machine-15kg-inverter.png"
100,"Dawlance Microwave Oven 23 Ltr Black (dw-374)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-microwave-oven-23-ltr-black-dw-374.png"
125,"Dawlance Semi Automatic Washing Machine 10kg (dw-7500c)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-semi-automatic-washing-machine-10kg-dw-7500c.png"
127,"Dawlance Top Load Fully Automatic Washing Machine (awm-dwt-1166-ads)- 11 Kg","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-top-load-fully-automatic-washing-machine-awm-dwt-1166-ads-11-kg.png"
128,"Dawlance Top Load Fully Automatic Washing Machine 10 Kg (dwt-1006)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-top-load-fully-automatic-washing-machine-10-kg-dwt-1006.png"
129,"Dawlance Top Load Fully Automatic Washing Machine 11kg Gray (dwt-11671-flt)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-top-load-fully-automatic-washing-machine-11kg-gray-dwt-11671-flt.png"
130,"Dawlance Top Load Fully Automatic Washing Machine 11kg Silver (dwt-11467 Es)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-top-load-fully-automatic-washing-machine-11kg-silver-dwt-11467-es.png"
131,"Dawlance Top Load Fully Automatic Washing Machine 14kg Silver (DWT 14470 Es)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-top-load-fully-automatic-washing-machine-14kg-silver-dwt-14470-es.png"
132,"Dawlance Top Load Fully Automatic Washing Machine 17kg (dwt-1775-pl)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-top-load-fully-automatic-washing-machine-17kg-dwt-1775-pl.png"
133,"Dawlance Top Load Fully Automatic Washing Machine 8.5kg (dwt-9560)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-top-load-fully-automatic-washing-machine-8-5kg-dwt-9560.png"
134,"Dawlance Top Load Fully Automatic Washing Machine 9kg (dwt-9060-ez)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-top-load-fully-automatic-washing-machine-9kg-dwt-9060-ez.png"
135,"Dawlance Twin Tub Washing Machine (dw-6550c)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-twin-tub-washing-machine-dw-6550c.png"
136,"Dawlance Twin Tub Washing Machine 6kg (dw-6580 Cfl)","Dawlance","Air Conditioners",50000,47500,"/images/dawlance-dawlance-twin-tub-washing-machine-6kg-dw-6580-cfl.png"
16,"Ecostar 18du 1.5-ton DC Inverter Grey","ECOSTAR","Air Conditioners",50000,47500,"/images/ecostar-model-16.png"
8,"Ecostar 18t3pro 1.5 Ton Inverter Split AC (heat & Cool)","ECOSTAR","Air Conditioners",50000,47500,"/images/ecostar-model-8.png"
9,"Ecostar AC 12du02gc 1 Ton Inverter Split AC Duke Series","ECOSTAR","Air Conditioners",50000,47500,"/images/ecostar-ecostar-ac-12du02gc-1-ton-inverter-split-ac-duke-series.png"
10,"Ecostar AC 12emc1 1 Ton Inverter Split AC","ECOSTAR","Air Conditioners",50000,47500,"/images/ecostar-model-10.png"
17,"Ecostar AC 18nv01wt3 1.5 Ton T3 Inverter Split AC","ECOSTAR","Air Conditioners",50000,47500,"/images/ecostar-model-17.png"
11,"Ecostar Duke 1.5 Ton White Split AC White","ECOSTAR","Air Conditioners",50000,47500,"/images/ecostar-model-11.png"
13,"Ecostar Emperor Cool Series 1.5 Ton Split AC","ECOSTAR","Air Conditioners",50000,47500,"/images/ecostar-model-13.png"
14,"Ecostar Emperor Cool Series Es-18emc1ws 1.5 Ton Split AC","ECOSTAR","Air Conditioners",50000,47500,"/images/ecostar-model-14.png"
15,"Ecostar Emperor Series 1 Ton White Split Air Conditioner","ECOSTAR","Air Conditioners",50000,47500,"/images/ecostar-model-15.png"
290,"Ecostar Emperor/duke 1 Ton B/g","Ecostar","Air Conditioners",98000,93100,"/images/ecostar-ecostar-emperor-duke-1-ton-b-g.png"
291,"Ecostar Emperor/duke 1.5 Ton (w)","Ecostar","Air Conditioners",117000,111150,"/images/ecostar-ecostar-emperor-duke-1-5-ton-w.png"
292,"Ecostar Emperor/duke 1.5 Ton B/g","Ecostar","Air Conditioners",118000,112100,"/images/ecostar-ecostar-emperor-duke-1-5-ton-b-g.png"
293,"Ecostar Emperor/duke 2 Ton (w)","Ecostar","Air Conditioners",176000,167200,"/images/ecostar-ecostar-emperor-duke-2-ton-w.png"
